[5.4634 0.4342 0.8054 3.5421]
[5.585, 0.432, 0.7993, 3.7034]
[5.7345, 0.4348, 0.8075, 3.5491]
[5.4881, 0.432, 0.7993, 3.7357]
[5.6655, 0.4324, 0.8117, 3.6727]
[5.78, 0.4294, 0.7917, 3.7929]
[5.6337, 0.4284, 0.7898, 3.8206]
[5.5832, 0.4294, 0.8059, 3.6837]
[5.6655, 0.428, 0.7923, 3.6723]
[5.7814, 0.4294, 0.801, 3.7357]
[5.6911, 0.4294, 0.7998, 3.8182]
[5.6337, 0.4294, 0.7998, 3.7811]
[5.9078, 0.431, 0.7823, 3.6811]
[5.7882, 0.4296, 0.8087, 3.6622]
[5.8311, 0.4294, 0.7898, 3.8173]
[5.9697 0.4324 0.8117 4.0836]
[5.8706, 0.4294, 0.7906, 3.8532]
[5.7646, 0.4261, 0.7863, 3.967]
[5.7882, 0.4279, 0.7708, 3.967]
[5.7083, 0.427, 0.7989, 3.7545]
[5.8445 0.4212 0.7908 3.98  ]
[5.7862 0.4089 0.803  3.9753]
[5.4851, 0.4271, 0.7862, 3.8555]
[5.6466, 0.4221, 0.8, 3.8645]
[5.4909, 0.4167, 0.7811, 4.1106]
[5.5279, 0.4282, 0.8, 3.9949]
[5.6466, 0.4221, 0.7735, 4.1817]
[5.7419 0.4144 0.8057 4.0998]
[5.5022, 0.4243, 0.783, 3.768]
[5.598, 0.4208, 0.798, 4.1029]
[5.4358, 0.4244, 0.7705, 4.1995]
[5.8005, 0.4277, 0.7931, 3.932]
[5.5787, 0.422, 0.7959, 4.1831]
[5.6014, 0.4209, 0.7959, 4.2081]
[5.6014, 0.4178, 0.7674, 4.2081]
[5.9486, 0.4175, 0.7846, 4.3753]
[5.9297, 0.4209, 0.7959, 4.3495]
[5.9462 0.4083 0.7728 4.5354]
[5.6762, 0.4025, 0.7632, 4.4424]
[5.7897, 0.4144, 0.7867, 4.3084]
[5.9756, 0.4125, 0.7715, 4.4386]
[5.9086 0.4076 0.7639 4.3057]
[5.8148, 0.4085, 0.7832, 4.4898]
[5.9639, 0.4179, 0.7754, 4.4944]
[5.9639, 0.4118, 0.7641, 4.4357]
[3.0457 0.4035 0.7731 4.6442]
[5.899  0.4059 0.7838 4.5521]
[5.8462 0.4055 0.7894 4.9011]
[5.8035 0.4055 0.7687 4.809 ]
[3.0717 0.4135 0.7623 4.9726]
[3.2737 0.4249 0.7417 4.6873]
[5.5643 0.3876 0.8084 5.1567]
[3.4046 0.4088 0.7421 4.7113]
[3.7973 0.4141 0.7738 4.5429]
[4.9282 0.412  0.8535 4.7544]
[5.3    0.4623 0.7996 3.2943]
[4.2708 0.453  0.8434 3.9101]
[3.0606 0.4476 0.8714 4.7628]
[3.9749 0.4331 0.7208 3.4037]
[4.2732 0.3814 0.8394 4.4428]
[4.8957 0.3849 0.7522 4.0788]
[4.0627 0.3809 0.8517 4.4884]
[5.658  0.376  0.8752 4.1827]
[3.2129 0.4768 0.8719 4.6581]
[5.1426 0.4493 0.7933 4.7339]
[4.3421 0.3824 0.8798 5.9799]
[4.941  0.3813 0.8956 4.4371]
[4.9172 0.3742 0.8566 5.341 ]
[3.8293 0.3776 0.8236 3.8935]
[3.032  0.4381 0.832  5.2306]
[4.6773 0.4339 0.7502 4.3108]
[5.072  0.387  0.7239 4.5435]
[3.4603 0.4654 0.8398 5.0428]
[5.503  0.4622 0.7946 4.9757]
[3.6255 0.3772 0.8563 5.4584]
[5.3693 0.4067 0.8324 4.9782]
[5.8362 0.4332 0.8433 5.1558]
[3.6003 0.4568 0.7354 3.5282]
[3.8757 0.3679 0.8972 4.4017]
[4.8413 0.4165 0.8319 4.8507]
[3.6253 0.4272 0.8398 4.6833]
[4.2587 0.4421 0.876  5.4023]
[4.567  0.4245 0.8908 5.7074]
[3.1981 0.3679 0.8613 5.106 ]
[3.4731 0.4049 0.8736 4.542 ]
[5.2944 0.4192 0.8526 5.175 ]
[4.4301 0.4363 0.8873 3.664 ]
[4.9625 0.4599 0.8998 5.6858]
[4.8494 0.4066 0.8646 5.715 ]
[4.258  0.3871 0.8288 4.6813]
[4.1133 0.4184 0.7711 4.7984]
[5.5724 0.3681 0.7512 5.9356]
[4.9628 0.4343 0.8203 5.8388]
[4.5246 0.4052 0.8808 3.574 ]
[5.7741 0.458  0.7413 5.5669]
[3.1106 0.4148 0.7512 5.7267]
[4.4    0.3827 0.8883 5.5899]
[3.6998 0.4751 0.9124 4.34  ]
[5.6718 0.4646 0.7368 5.3265]
[3.0775 0.3903 0.7645 4.5737]
