[5.6456 0.423  0.7725 3.7978]
[5.7727, 0.4205, 0.8053, 3.6226]
[5.4881, 0.4324, 0.8001, 3.6727]
[5.585, 0.432, 0.8014, 3.4016]
[5.759, 0.4324, 0.8001, 3.9987]
[5.6868, 0.432, 0.7993, 3.6723]
[5.585, 0.4294, 0.7993, 3.6762]
[5.4456, 0.4342, 0.7945, 3.9987]
[5.7842, 0.4284, 0.7964, 3.7357]
[5.6337, 0.4294, 0.7959, 3.8913]
[5.4881, 0.4228, 0.801, 3.6723]
[5.6911, 0.428, 0.7993, 3.6723]
[5.7882, 0.4294, 0.7898, 3.6622]
[5.5832, 0.4288, 0.7842, 3.8173]
[5.6857, 0.4238, 0.801, 3.7647]
[5.6916 0.4279 0.771  3.967 ]
[5.7882, 0.4256, 0.7842, 3.6831]
[5.7083, 0.4315, 0.7875, 3.8532]
[5.7191, 0.4231, 0.792, 3.8418]
[5.7343, 0.4276, 0.7929, 3.8233]
[5.7194 0.4269 0.7775 4.1529]
[5.5988 0.42   0.8104 3.7143]
[5.4851, 0.4338, 0.7948, 4.1453]
[5.7441, 0.4294, 0.7912, 4.1412]
[5.6466, 0.4221, 0.8, 3.8645]
[5.7033, 0.4282, 0.805, 4.0149]
[5.8451, 0.4258, 0.7735, 3.8645]
[5.6946 0.4246 0.7946 4.3202]
[5.7123, 0.4221, 0.7905, 4.1412]
[5.8005, 0.4277, 0.7931, 3.932]
[5.5787, 0.4221, 0.798, 4.0534]
[5.9486, 0.4209, 0.7846, 4.2843]
[5.8005, 0.4277, 0.7675, 4.4228]
[5.6443, 0.4243, 0.7959, 4.0534]
[5.9486, 0.4084, 0.7799, 4.3495]
[5.9486, 0.4209, 0.7846, 4.5824]
[5.9534, 0.4231, 0.7959, 4.3808]
[5.9935 0.4121 0.7839 4.4685]
[5.6762, 0.4148, 0.7798, 4.4843]
[5.9935, 0.415, 0.7547, 4.5354]
[5.9517, 0.412, 0.7809, 4.5]
[5.8006 0.4134 0.773  4.4036]
[3.1747, 0.4123, 0.7721, 4.6696]
[5.9228, 0.412, 0.7666, 4.6138]
[5.9398, 0.4118, 0.7769, 4.6138]
[5.9217 0.4129 0.7805 4.3822]
[3.0509 0.4103 0.7672 4.692 ]
[5.9459 0.4159 0.7544 4.506 ]
[5.7673 0.395  0.7772 4.5246]
[5.9035 0.4062 0.7465 4.5499]
[5.8075 0.39   0.7396 4.7641]
[3.4493 0.4106 0.7363 4.8023]
[5.5492 0.3899 0.7236 3.8793]
[5.5774 0.4309 0.8159 4.3855]
[3.6266 0.4017 0.7411 4.2082]
[3.4514 0.4436 0.7672 4.2787]
[4.9209 0.3752 0.8522 5.7793]
[5.2785 0.3674 0.7286 5.3974]
[3.2194 0.4772 0.7815 4.1692]
[4.3214 0.3817 0.8716 4.0352]
[4.8659 0.422  0.748  4.5471]
[3.1872 0.3783 0.8419 4.6111]
[4.5729 0.4296 0.7773 3.5042]
[3.788  0.4741 0.8446 4.8168]
[4.2382 0.4453 0.8452 5.593 ]
[5.9654 0.4496 0.9107 4.5247]
[5.704  0.399  0.752  5.6132]
[5.9258 0.3818 0.7246 4.4848]
[4.7656 0.3706 0.8785 3.3381]
[3.2851 0.4709 0.7279 4.5524]
[3.1059 0.4389 0.832  5.2255]
[5.172  0.4747 0.7901 5.1874]
[5.022  0.4338 0.7807 4.8029]
[4.589  0.4672 0.7276 3.889 ]
[5.2752 0.4253 0.7504 5.4425]
[3.6248 0.3937 0.8282 4.0874]
[4.3449 0.4675 0.7694 3.6352]
[5.3538 0.4548 0.8757 4.1742]
[5.671  0.4301 0.7509 3.9891]
[5.3861 0.4797 0.7358 3.808 ]
[5.6126 0.4367 0.852  3.6962]
[5.9347 0.4465 0.8212 5.3297]
[3.9335 0.4693 0.9094 4.3012]
[5.3548 0.4405 0.8746 3.7479]
[3.3407 0.4642 0.7287 3.9926]
[5.9617 0.3823 0.7543 4.3282]
[5.7803 0.4562 0.797  3.8572]
[3.5852 0.4196 0.7356 5.8382]
[5.5308 0.4621 0.8123 4.8421]
[3.199  0.3874 0.8481 3.409 ]
[5.4749 0.4305 0.8669 5.5138]
[5.298  0.4564 0.7992 3.9348]
[4.4476 0.3608 0.7298 5.0159]
[4.1795 0.4549 0.7394 5.5407]
[4.6638 0.363  0.7526 3.531 ]
[4.6638 0.3777 0.7542 4.3279]
[4.9067 0.4638 0.8405 5.3283]
[3.267  0.3697 0.8873 5.8236]
[5.3737 0.4591 0.9042 4.0085]
[4.5894 0.4495 0.7322 3.4522]
