[5.5579 0.4231 0.8021 3.6986]
[5.427, 0.4329, 0.8006, 3.5113]
[5.6585, 0.432, 0.7993, 3.7907]
[5.7417, 0.4294, 0.8031, 3.7929]
[5.4881, 0.432, 0.8025, 3.7357]
[5.3245, 0.4298, 0.8186, 3.9987]
[5.552, 0.4256, 0.7912, 3.8677]
[5.6661, 0.4277, 0.7993, 3.8233]
[5.6661, 0.4277, 0.7994, 3.8233]
[5.7882, 0.4256, 0.814, 3.6622]
[5.6911, 0.4301, 0.7842, 3.861]
[5.7814, 0.4301, 0.7842, 3.6723]
[5.7882, 0.4294, 0.7776, 3.6811]
[5.6857, 0.4296, 0.801, 3.9448]
[5.6811, 0.4294, 0.7998, 3.6723]
[3.0795 0.434  0.7704 3.9755]
[5.4437, 0.4283, 0.7762, 3.8041]
[5.7083, 0.4312, 0.7865, 3.7556]
[5.7459, 0.4278, 0.7865, 3.8652]
[5.6678, 0.4276, 0.7864, 3.8532]
[5.6695 0.4189 0.7812 3.822 ]
[5.6171 0.4175 0.7988 4.2894]
[5.6447, 0.4204, 0.7942, 3.9313]
[5.7426, 0.4221, 0.8104, 3.7143]
[5.7106, 0.4221, 0.7827, 4.1412]
[5.6466, 0.4221, 0.8, 3.8212]
[5.4909, 0.4258, 0.7905, 4.0314]
[5.9756 0.4175 0.7931 4.2004]
[5.6846, 0.4209, 0.7997, 4.1975]
[5.7951, 0.4202, 0.7765, 4.5708]
[5.4358, 0.4209, 0.7846, 3.917]
[5.8005, 0.4277, 0.7931, 3.932]
[5.6014, 0.4209, 0.798, 3.8857]
[5.4358, 0.4277, 0.7959, 4.3495]
[5.9656, 0.4175, 0.7931, 4.2166]
[5.9486, 0.4244, 0.7959, 4.5962]
[5.8993, 0.4243, 0.7782, 4.2166]
[5.7897 0.4139 0.7653 4.5998]
[5.7702, 0.4152, 0.7815, 4.624]
[5.8252, 0.4132, 0.7765, 4.4685]
[5.9295, 0.4169, 0.7772, 4.4357]
[5.9639 0.4179 0.7585 4.3736]
[5.8603, 0.4134, 0.791, 4.6696]
[5.86, 0.4132, 0.7713, 4.5228]
[5.9232, 0.4237, 0.7651, 4.3736]
[5.7923 0.4076 0.7751 4.5772]
[3.1219 0.4107 0.7765 4.6589]
[5.8925 0.411  0.7525 4.8027]
[5.9568 0.4113 0.7753 4.6909]
[5.7634 0.4213 0.7751 4.9477]
[5.5703 0.4012 0.829  4.2288]
[3.299  0.4212 0.8022 4.0735]
[3.5106 0.4172 0.7923 4.0575]
[4.0546 0.4051 0.7895 3.7632]
[3.144  0.4461 0.9064 4.498 ]
[5.4028 0.443  0.7594 4.793 ]
[3.5537 0.4467 0.8001 3.8811]
[3.1299 0.4301 0.7505 5.4449]
[5.3467 0.3957 0.8709 4.0683]
[4.7695 0.4304 0.7501 5.5817]
[3.5884 0.3742 0.7234 5.2162]
[5.4711 0.4541 0.8346 5.6327]
[4.8157 0.42   0.8946 4.291 ]
[3.8238 0.4318 0.874  3.9389]
[5.6576 0.3905 0.7203 3.8638]
[3.2061 0.4707 0.7422 5.8762]
[5.3144 0.4496 0.756  5.471 ]
[4.6709 0.3826 0.8268 3.8245]
[4.5714 0.3789 0.7928 5.5323]
[5.9466 0.4551 0.8991 4.569 ]
[5.188  0.4396 0.8624 3.421 ]
[5.9968 0.4704 0.9158 5.4695]
[4.4606 0.4131 0.8174 3.9614]
[5.806  0.4351 0.7382 4.9934]
[4.946  0.4094 0.8436 4.9813]
[4.4477 0.4665 0.7769 5.9779]
[4.8637 0.3959 0.8143 4.952 ]
[3.3248 0.3784 0.8268 5.1678]
[5.1719 0.4435 0.8541 5.9063]
[4.081  0.4397 0.7869 5.9586]
[5.4937 0.4438 0.7708 5.4077]
[4.0899 0.366  0.8363 4.0059]
[3.4208 0.3667 0.7267 4.911 ]
[3.7332 0.4603 0.7656 4.4429]
[4.0741 0.3655 0.9054 4.0508]
[4.1349 0.3864 0.7578 3.3612]
[4.42   0.3928 0.9037 4.1821]
[4.1565 0.3676 0.828  5.1412]
[5.1411 0.4345 0.816  5.4169]
[5.2582 0.3863 0.904  5.8062]
[3.3479 0.3634 0.825  5.8987]
[4.2163 0.4389 0.8917 4.6239]
[5.7382 0.3961 0.7301 4.8272]
[3.4711 0.4437 0.7939 3.8671]
[3.4903 0.3996 0.8905 3.2022]
[5.1381 0.4302 0.7354 5.3621]
[4.8079 0.407  0.7257 3.342 ]
[3.4109 0.3723 0.742  3.1065]
[3.605  0.4641 0.7677 4.0992]
[5.6552 0.4704 0.9088 5.1778]
