[5.4783 0.4255 0.8061 3.5704]
[5.6655, 0.4265, 0.8031, 3.5525]
[5.6852, 0.432, 0.7993, 3.7357]
[5.6655, 0.434, 0.8031, 3.6837]
[5.4456, 0.4268, 0.8075, 3.7357]
[5.585, 0.4342, 0.7841, 3.7151]
[5.6585, 0.432, 0.8075, 3.6727]
[5.7882, 0.432, 0.7994, 3.7357]
[5.355, 0.4294, 0.8033, 3.6727]
[5.6811, 0.4294, 0.7899, 3.6723]
[5.7633, 0.4284, 0.7993, 3.7357]
[5.8257, 0.4294, 0.801, 3.6723]
[5.6811, 0.4296, 0.7898, 3.6723]
[5.5832, 0.428, 0.7993, 3.7357]
[5.6753, 0.4296, 0.7998, 3.6723]
[3.0577 0.4297 0.7766 3.9859]
[5.9451, 0.4209, 0.7755, 3.7252]
[5.9119, 0.4241, 0.785, 3.7257]
[5.7882, 0.4235, 0.7912, 3.6831]
[5.5713, 0.427, 0.7689, 3.8652]
[5.8043 0.418  0.7923 3.9233]
[5.6691 0.4258 0.8    3.8645]
[5.6924, 0.4221, 0.7905, 4.1301]
[5.6691, 0.4258, 0.7811, 3.8645]
[5.6466, 0.4279, 0.8, 3.8645]
[5.4909, 0.4282, 0.7905, 4.0314]
[5.6589, 0.4258, 0.7735, 3.8645]
[5.6734 0.4289 0.7801 4.1808]
[5.5846, 0.4244, 0.8156, 3.8289]
[5.606, 0.4291, 0.7931, 4.2004]
[5.7487, 0.4244, 0.7931, 4.3495]
[5.6014, 0.4243, 0.7959, 3.932]
[5.9756, 0.4244, 0.7959, 4.2166]
[5.9486, 0.4209, 0.7846, 4.2843]
[5.4358, 0.4206, 0.7799, 4.3495]
[5.9534, 0.4175, 0.7846, 4.5419]
[5.4358, 0.4175, 0.7846, 4.3495]
[3.1444 0.4076 0.7883 4.5811]
[5.9756, 0.4117, 0.7765, 4.5151]
[5.9538, 0.4134, 0.7638, 4.4843]
[5.981, 0.4157, 0.7791, 4.4785]
[3.0189 0.414  0.7593 4.7473]
[5.9232, 0.4102, 0.7474, 4.6138]
[5.9232, 0.412, 0.7806, 4.6138]
[5.9507, 0.4111, 0.7716, 4.6373]
[5.8052 0.4043 0.7651 4.4708]
[5.9909 0.4107 0.7499 4.4724]
[5.9021 0.4146 0.77   4.427 ]
[5.8004 0.4177 0.7412 4.4564]
[3.2163 0.4108 0.7629 4.8657]
[5.9875 0.4458 0.7452 4.2653]
[5.469  0.435  0.7499 4.4315]
[3.4805 0.3945 0.7889 4.3101]
[3.2915 0.4087 0.7585 4.0416]
[3.6815 0.3888 0.8215 4.9979]
[3.6294 0.3698 0.7659 4.5537]
[5.5106 0.3943 0.7926 5.3856]
[5.1986 0.3622 0.8013 5.881 ]
[3.5689 0.3932 0.9114 5.8267]
[4.8844 0.4296 0.8265 3.8968]
[4.681  0.4669 0.7666 3.2821]
[5.682  0.3773 0.8948 5.91  ]
[3.4162 0.4304 0.8053 4.2265]
[5.9896 0.441  0.8559 4.306 ]
[4.2931 0.4543 0.8866 4.1354]
[4.9772 0.3701 0.9009 4.6718]
[5.9267 0.4317 0.8048 3.7684]
[5.0604 0.3876 0.896  3.4063]
[5.5526 0.3871 0.7896 3.8697]
[4.2581 0.4263 0.7422 4.1019]
[5.7067 0.3732 0.8385 3.9125]
[5.277  0.4115 0.7426 3.7596]
[4.4214 0.3673 0.8947 5.8307]
[3.3531 0.3774 0.8565 4.0166]
[5.6962 0.4032 0.7923 5.7941]
[4.5381 0.3686 0.8219 3.9302]
[5.6132 0.389  0.8864 4.5147]
[5.0792 0.3879 0.8452 4.8841]
[4.8452 0.4742 0.8509 5.3956]
[5.5413 0.3688 0.8845 4.9484]
[4.6331 0.3638 0.8119 4.2792]
[4.103  0.4607 0.8213 3.5511]
[5.2822 0.3931 0.7752 4.4472]
[4.3631 0.3753 0.8585 5.6306]
[4.3547 0.3629 0.7268 5.3576]
[4.4248 0.4621 0.8466 3.4944]
[5.4579 0.4122 0.8916 5.4317]
[3.0176 0.3884 0.8232 5.5624]
[4.9427 0.4455 0.8011 3.2041]
[3.4233 0.4754 0.8189 5.2392]
[3.6768 0.4522 0.8724 4.0178]
[3.6957 0.4535 0.8359 5.7246]
[4.4625 0.4762 0.7672 4.8111]
[4.9095 0.3676 0.8066 3.8136]
[3.9711 0.4532 0.7722 3.0461]
[4.8633 0.3937 0.9083 5.0775]
[5.3252 0.4757 0.8464 4.7094]
[5.9903 0.4318 0.9018 5.4608]
[3.0038 0.4764 0.7246 3.1794]
[4.6736 0.3891 0.7691 5.616 ]
