[5.2969 0.4426 0.7939 3.6847]
[5.7727, 0.433, 0.801, 3.4016]
[5.1244, 0.4316, 0.8066, 3.5901]
[5.4881, 0.4324, 0.8017, 3.6727]
[5.552, 0.4294, 0.8001, 3.6727]
[5.3245, 0.4294, 0.7993, 3.6727]
[5.7814, 0.4257, 0.801, 3.6727]
[5.552, 0.4256, 0.8017, 3.8677]
[5.8238, 0.4284, 0.7994, 3.8206]
[5.6911, 0.4296, 0.7898, 3.8173]
[5.6631, 0.4294, 0.7888, 3.6811]
[5.6911, 0.4284, 0.7936, 3.8824]
[5.6337, 0.4256, 0.7753, 3.861]
[5.7882, 0.431, 0.7823, 3.6811]
[5.7882, 0.4296, 0.7832, 3.8382]
[5.9451 0.4209 0.7871 3.7252]
[5.7229, 0.4346, 0.7746, 3.8041]
[5.7882, 0.4348, 0.7919, 3.861]
[5.7083, 0.4312, 0.7853, 4.0328]
[5.6916, 0.434, 0.7885, 3.8546]
[5.7876 0.4208 0.7891 3.844 ]
[5.8801 0.4135 0.8011 3.9461]
[5.7291, 0.4294, 0.7912, 3.9313]
[5.5279, 0.4264, 0.7882, 4.0476]
[5.6447, 0.4221, 0.8, 3.9949]
[5.6466, 0.4279, 0.8, 4.0528]
[5.6886, 0.4258, 0.805, 3.9949]
[5.6835 0.4265 0.7997 3.8078]
[5.8973, 0.4247, 0.7779, 3.9174]
[5.7527, 0.4209, 0.7997, 3.932]
[5.9486, 0.4175, 0.7816, 4.2081]
[5.8983, 0.4175, 0.7931, 4.2166]
[5.6014, 0.4231, 0.7931, 4.4228]
[5.9486, 0.4175, 0.7959, 4.0534]
[5.5787, 0.4243, 0.7765, 4.2166]
[5.9486, 0.4209, 0.7854, 4.2843]
[5.4358, 0.4175, 0.7846, 4.1831]
[3.0432 0.4172 0.7793 4.4973]
[5.7702, 0.4017, 0.7885, 4.3897]
[5.981, 0.4155, 0.7885, 4.3047]
[5.9741, 0.4085, 0.7783, 4.5151]
[5.8092 0.4079 0.7738 4.4716]
[3.1747, 0.4126, 0.767, 4.2343]
[3.1747, 0.4076, 0.7721, 4.3057]
[5.9639, 0.4118, 0.7774, 4.6118]
[3.0635 0.4157 0.7777 4.7252]
[5.9048 0.4131 0.7821 4.7817]
[3.1354 0.4047 0.7765 4.6988]
[5.6309 0.393  0.7956 4.8809]
[3.1995 0.4144 0.7366 4.4498]
[3.1658 0.4119 0.7401 5.2908]
[5.9133 0.4168 0.8057 4.426 ]
[5.422  0.4154 0.8447 4.9898]
[5.3229 0.4225 0.7919 5.2403]
[4.2685 0.4232 0.7832 4.5799]
[4.368  0.4687 0.7778 5.6913]
[5.2134 0.4506 0.8864 3.6548]
[5.7972 0.465  0.7448 5.2443]
[5.8742 0.4022 0.9052 3.6649]
[3.9709 0.432  0.7811 5.5788]
[5.0195 0.4521 0.8668 4.8402]
[3.9322 0.3879 0.7345 5.6512]
[5.6212 0.4515 0.7364 3.3921]
[5.7746 0.4168 0.8796 3.4962]
[3.2602 0.3952 0.7893 4.0797]
[3.1472 0.4206 0.7855 3.0523]
[3.9799 0.4122 0.8903 3.2221]
[5.9401 0.3789 0.8765 5.4645]
[5.8845 0.4228 0.8253 4.3989]
[5.7402 0.4099 0.8443 5.5384]
[5.8853 0.3952 0.8319 4.9232]
[3.37   0.368  0.9062 5.9595]
[4.4588 0.3962 0.8078 3.7936]
[4.6286 0.4052 0.8725 5.0037]
[4.5784 0.4393 0.8467 4.4031]
[5.3556 0.3671 0.7936 3.7363]
[4.5738 0.447  0.7652 5.208 ]
[4.0289 0.4739 0.9077 4.4128]
[5.5478 0.3684 0.7858 4.021 ]
[4.9108 0.3654 0.8416 3.4208]
[5.7562 0.4546 0.8723 5.265 ]
[5.0604 0.4143 0.7225 4.248 ]
[3.1059 0.3848 0.8355 4.1322]
[5.6707 0.3735 0.8216 4.7231]
[5.3652 0.4392 0.7261 3.8444]
[5.6667 0.4342 0.9021 5.8126]
[3.1883 0.3766 0.7672 5.4302]
[4.5371 0.4333 0.7228 5.8971]
[3.4465 0.4017 0.7643 3.8607]
[3.3396 0.3677 0.753  4.2214]
[5.0878 0.4591 0.8016 4.5349]
[4.523  0.39   0.7791 3.4928]
[4.2027 0.4686 0.7867 5.3596]
[5.0119 0.3815 0.9054 5.3355]
[5.2287 0.4439 0.8765 4.2829]
[3.0951 0.4646 0.8547 4.0439]
[3.0229 0.4439 0.8787 5.1144]
[4.7753 0.3838 0.8596 5.4572]
[4.816  0.3817 0.9072 4.4685]
[3.417  0.4229 0.92   5.7503]
