[5.355  0.4294 0.8186 3.7471]
[5.4683, 0.4331, 0.8072, 3.6837]
[5.7882, 0.4284, 0.8223, 3.6723]
[5.4456, 0.4265, 0.814, 3.7463]
[5.6865, 0.4294, 0.7993, 3.6727]
[5.3245, 0.4296, 0.7994, 3.8113]
[5.6911, 0.432, 0.7998, 3.7357]
[5.6585, 0.432, 0.8033, 3.6727]
[5.355, 0.428, 0.7923, 3.8233]
[5.9059, 0.4255, 0.7869, 3.7929]
[5.7814, 0.4294, 0.7898, 3.6723]
[5.6337, 0.431, 0.7993, 3.7357]
[5.6655, 0.4294, 0.7819, 3.7133]
[5.7258, 0.4294, 0.7842, 3.8173]
[5.7069, 0.4288, 0.7842, 3.9614]
[5.7343 0.4283 0.7863 3.8532]
[5.8365, 0.4261, 0.7713, 3.9542]
[5.7014, 0.4294, 0.7853, 3.8532]
[5.7187, 0.427, 0.7842, 3.8233]
[5.7083, 0.4279, 0.7828, 3.7545]
[5.6231 0.4293 0.7872 3.9012]
[5.6447 0.421  0.7942 3.8885]
[5.6886, 0.4221, 0.7905, 3.9949]
[5.7981, 0.4239, 0.7904, 3.9101]
[5.6589, 0.4282, 0.7905, 3.8645]
[5.5279, 0.4239, 0.7794, 4.0476]
[5.4909, 0.4282, 0.7882, 4.026]
[3.006  0.423  0.7725 4.2756]
[5.8396, 0.4289, 0.7801, 4.1808]
[5.673, 0.4246, 0.78, 4.0534]
[5.8381, 0.4243, 0.7959, 3.932]
[5.4358, 0.4244, 0.7705, 4.1995]
[5.6014, 0.4243, 0.7959, 4.0534]
[5.9791, 0.4178, 0.7674, 4.2081]
[5.916, 0.4243, 0.7959, 4.1831]
[5.9345, 0.4243, 0.7721, 4.3495]
[5.9486, 0.4209, 0.7959, 4.3495]
[5.9275 0.417  0.7715 4.3634]
[5.981, 0.4155, 0.7885, 4.348]
[5.9401, 0.4169, 0.7723, 4.4357]
[5.981, 0.41, 0.7885, 4.5151]
[5.7834 0.4056 0.7767 4.2267]
[5.6093, 0.4123, 0.791, 4.3885]
[5.9232, 0.4085, 0.7548, 4.4898]
[5.9232, 0.4099, 0.7639, 4.5228]
[5.964  0.4068 0.7706 4.6385]
[3.033  0.4144 0.7615 4.6061]
[3.3754 0.4127 0.7599 4.4911]
[3.1806 0.4144 0.7906 4.4133]
[3.095  0.4166 0.7791 4.8228]
[3.1775 0.4019 0.7885 4.2529]
[3.624  0.3886 0.761  4.2646]
[3.291  0.4241 0.801  4.8369]
[5.1846 0.4185 0.7783 4.1232]
[5.964  0.3805 0.8269 4.5406]
[3.4802 0.4668 0.8037 3.8212]
[4.6179 0.4349 0.7981 3.9049]
[3.1973 0.4393 0.8871 5.6152]
[5.4705 0.411  0.9183 3.7306]
[4.5156 0.3919 0.8578 4.6759]
[4.7473 0.4543 0.8322 5.9032]
[4.5805 0.4131 0.8564 5.1607]
[5.2614 0.4621 0.7981 5.0914]
[4.1884 0.4527 0.7617 5.4804]
[3.8536 0.4304 0.8514 5.3229]
[3.1479 0.4222 0.8196 5.7912]
[3.1714 0.3603 0.7494 3.1276]
[5.5992 0.4473 0.8273 4.7695]
[4.0358 0.4691 0.843  4.9109]
[5.6447 0.3775 0.7821 4.5104]
[5.8561 0.4331 0.8382 3.1042]
[4.6742 0.4359 0.858  5.5699]
[4.9438 0.4586 0.7402 5.383 ]
[5.0617 0.3682 0.8455 3.1554]
[3.3608 0.4145 0.7966 3.7338]
[3.9569 0.3601 0.8181 5.5951]
[3.363  0.3863 0.8364 3.2311]
[4.9855 0.4006 0.7737 3.8265]
[3.0624 0.4267 0.8188 5.3542]
[4.0931 0.3845 0.795  3.3216]
[4.5034 0.4256 0.7563 4.5635]
[3.8685 0.4004 0.846  5.4694]
[5.932  0.4784 0.7331 5.3756]
[3.9793 0.3794 0.8837 3.0323]
[3.5983 0.4474 0.7303 5.9184]
[5.2459 0.3983 0.8319 5.312 ]
[4.548  0.3987 0.7578 3.3868]
[3.3432 0.4395 0.878  4.3172]
[4.3396 0.4685 0.7705 3.3117]
[5.0211 0.4093 0.8802 3.343 ]
[5.1314 0.4262 0.9028 3.4299]
[4.9581 0.4215 0.8409 4.1973]
[3.9393 0.3934 0.7691 4.5863]
[5.5136 0.4498 0.8943 3.591 ]
[5.7061 0.3711 0.9078 4.2993]
[3.418  0.4415 0.8856 5.4718]
[5.4754 0.4703 0.9192 3.8797]
[4.671  0.4768 0.9165 5.353 ]
[4.5578 0.4177 0.7429 3.2956]
[5.6165 0.3681 0.7515 4.5785]
