[5.1244 0.4338 0.8066 3.7064]
[5.4881, 0.434, 0.8006, 3.6727]
[5.4881, 0.4331, 0.7993, 3.7357]
[5.5579, 0.4265, 0.7994, 3.8113]
[5.355, 0.432, 0.8075, 3.4016]
[5.3245, 0.43, 0.8021, 3.9987]
[5.679, 0.4294, 0.7993, 3.6723]
[5.4881, 0.4284, 0.7994, 3.7357]
[5.355, 0.4294, 0.7998, 3.9987]
[5.6655, 0.4294, 0.7998, 3.6723]
[5.9151, 0.4296, 0.7993, 3.6723]
[5.817, 0.4294, 0.801, 3.6723]
[5.6661, 0.4294, 0.7842, 3.6622]
[5.6857, 0.4256, 0.7998, 3.8774]
[5.7882, 0.4238, 0.792, 3.8173]
[5.8656 0.427  0.7796 3.8233]
[5.7511, 0.4189, 0.7708, 3.7545]
[5.6916, 0.434, 0.7863, 3.9755]
[5.5713, 0.4293, 0.7689, 3.8652]
[5.4437, 0.4293, 0.7863, 3.8532]
[5.6911 0.4273 0.782  4.0228]
[5.8774 0.4324 0.811  4.3075]
[5.7332, 0.4373, 0.7905, 4.1106]
[5.4909, 0.4221, 0.7854, 4.1106]
[5.7033, 0.4282, 0.8, 3.7143]
[5.6848, 0.4247, 0.7735, 4.0149]
[5.6589, 0.4271, 0.7735, 3.8645]
[5.8005 0.4234 0.7735 4.1975]
[5.6014, 0.4244, 0.7997, 4.1029]
[5.9486, 0.4175, 0.7799, 4.3495]
[5.9486, 0.4291, 0.7816, 4.4228]
[5.6443, 0.4243, 0.7959, 4.0534]
[5.9179, 0.4175, 0.7816, 4.2081]
[5.9534, 0.4213, 0.7854, 4.2864]
[5.9376, 0.4206, 0.7799, 4.599]
[5.5787, 0.4243, 0.7765, 4.2166]
[5.9247, 0.4063, 0.7813, 4.4744]
[5.919  0.4025 0.7801 4.8407]
[5.8787, 0.4144, 0.7728, 4.3634]
[3.1544, 0.4132, 0.7632, 4.4685]
[5.9741, 0.4085, 0.7839, 4.5151]
[3.1533 0.4158 0.7791 4.366 ]
[3.0772, 0.4091, 0.7671, 4.2527]
[5.8823, 0.412, 0.7669, 4.4391]
[5.9639, 0.4179, 0.7741, 4.2108]
[3.173  0.411  0.7747 4.4706]
[5.8225 0.4167 0.7682 4.5607]
[3.172  0.419  0.7601 4.9388]
[5.9231 0.409  0.7845 4.6231]
[5.8492 0.4192 0.7629 4.4298]
[5.7124 0.3854 0.7853 4.4704]
[5.5194 0.4436 0.7679 4.9203]
[5.4839 0.4166 0.7902 5.3404]
[5.7649 0.4387 0.7719 5.0229]
[5.9851 0.4219 0.7754 5.5403]
[4.7177 0.3892 0.7704 5.0258]
[3.1176 0.4068 0.9079 3.3777]
[3.5656 0.3857 0.8399 3.3298]
[5.4459 0.3635 0.884  5.821 ]
[5.3461 0.3867 0.886  3.0569]
[3.7737 0.4728 0.7269 5.1562]
[4.4135 0.3929 0.8443 4.3904]
[3.797  0.3948 0.8564 5.4176]
[3.7817 0.3963 0.8647 4.2247]
[3.0008 0.3877 0.8756 3.716 ]
[4.8432 0.4649 0.8506 3.071 ]
[5.1319 0.423  0.7301 5.9825]
[5.6842 0.3952 0.7428 4.9009]
[3.0556 0.4501 0.7709 5.9514]
[4.5375 0.4096 0.8451 3.3379]
[3.324  0.3915 0.8997 3.4426]
[3.9449 0.4737 0.8796 3.6466]
[5.4746 0.4001 0.7377 4.3664]
[4.8761 0.3812 0.8255 5.2446]
[3.1954 0.4384 0.8981 3.2934]
[3.6385 0.3651 0.8394 4.7132]
[3.4146 0.4545 0.8697 3.9409]
[4.027  0.3904 0.7891 4.4505]
[3.7098 0.3643 0.7476 3.5531]
[3.8731 0.4539 0.8408 3.169 ]
[4.7539 0.4696 0.8356 4.4589]
[5.4451 0.4499 0.833  4.7418]
[3.0648 0.3818 0.8773 4.6624]
[5.1833 0.387  0.8076 3.1124]
[3.1162 0.3821 0.7802 3.2483]
[5.1111 0.4404 0.829  3.2026]
[3.3725 0.475  0.8534 3.6784]
[5.5482 0.4685 0.84   3.0796]
[4.6927 0.4085 0.8192 5.0469]
[4.703  0.3672 0.8635 5.3852]
[3.27   0.4111 0.8575 4.1294]
[5.4776 0.4567 0.7829 5.6153]
[4.305  0.4268 0.8719 4.8927]
[3.0066 0.433  0.7633 4.0586]
[4.829  0.4402 0.9167 5.0627]
[4.1259 0.4032 0.8801 5.4553]
[4.9102 0.3918 0.8373 4.1061]
[4.7011 0.3611 0.7638 5.7877]
[5.5194 0.4342 0.8115 5.2028]
[4.2815 0.3792 0.7443 5.889 ]
