[5.4624 0.4301 0.7994 3.6638]
[5.5579, 0.432, 0.7998, 3.8113]
[5.7796, 0.4329, 0.8075, 3.7381]
[5.2472, 0.4377, 0.8031, 3.7036]
[5.3245, 0.4342, 0.7993, 3.7525]
[5.6911, 0.4342, 0.7993, 3.7525]
[5.552, 0.4337, 0.8033, 3.8212]
[5.552, 0.432, 0.7923, 3.6727]
[5.6655, 0.428, 0.7945, 3.8233]
[5.6661, 0.4256, 0.814, 3.6622]
[5.6911, 0.4305, 0.801, 3.7813]
[5.7882, 0.431, 0.7823, 3.6811]
[5.8554, 0.428, 0.7993, 3.8599]
[5.6811, 0.4296, 0.7998, 3.6723]
[5.6857, 0.4256, 0.7936, 3.7357]
[5.9137 0.4337 0.784  3.8744]
[5.7014, 0.4348, 0.7889, 3.6233]
[5.6916, 0.4279, 0.7863, 3.967]
[5.7014, 0.4294, 0.7842, 3.8532]
[5.7343, 0.427, 0.7863, 3.967]
[5.6619 0.4119 0.7989 3.8553]
[5.3313 0.4281 0.7735 4.3216]
[5.6171, 0.4175, 0.7988, 4.2894]
[5.585, 0.4282, 0.8, 4.3216]
[5.6466, 0.4239, 0.7941, 4.1817]
[5.6589, 0.4221, 0.7855, 4.026]
[5.6886, 0.4239, 0.7941, 3.9949]
[5.8973 0.4266 0.7779 3.9174]
[5.9756, 0.4175, 0.7904, 4.2004]
[5.7487, 0.4234, 0.775, 4.4744]
[5.929, 0.4209, 0.7997, 4.3495]
[5.4358, 0.4206, 0.7765, 4.2166]
[5.9839, 0.4209, 0.78, 4.2843]
[5.9486, 0.4225, 0.7698, 3.932]
[5.8847, 0.4175, 0.7931, 4.2166]
[5.9486, 0.4209, 0.7846, 4.0534]
[5.5787, 0.4243, 0.7744, 4.2166]
[3.0807 0.4103 0.7668 4.6393]
[3.0784, 0.409, 0.7757, 4.4893]
[5.9756, 0.4117, 0.7765, 4.7496]
[5.9746, 0.4132, 0.7772, 4.4788]
[3.1554 0.4139 0.7648 4.5891]
[5.9229, 0.4104, 0.7653, 4.5656]
[5.9232, 0.4161, 0.773, 4.4036]
[5.9232, 0.4109, 0.7806, 4.7063]
[3.1701 0.4036 0.7637 4.702 ]
[5.9383 0.4228 0.7766 4.4969]
[3.1077 0.4158 0.7941 4.7639]
[3.1808 0.412  0.7622 4.1975]
[5.8921 0.4164 0.7513 4.4182]
[3.2038 0.3961 0.7477 4.7557]
[5.8943 0.4097 0.8053 4.4079]
[5.5273 0.4025 0.8319 3.4042]
[4.4275 0.4256 0.8219 4.5511]
[3.3397 0.378  0.7999 5.6175]
[5.8591 0.3763 0.8498 5.7638]
[3.5198 0.4285 0.8267 3.1859]
[3.9404 0.4516 0.7653 3.1312]
[5.7288 0.4243 0.7276 5.3458]
[5.8331 0.4092 0.728  4.3532]
[3.2231 0.4638 0.8195 3.7044]
[4.7173 0.4181 0.7718 4.5566]
[3.9072 0.4688 0.9099 3.9949]
[3.5009 0.3979 0.8456 3.6868]
[5.3714 0.4616 0.7753 4.4555]
[3.4107 0.471  0.8177 4.4582]
[3.4182 0.4759 0.8441 4.5387]
[4.8763 0.3713 0.7614 3.2469]
[4.7446 0.3994 0.7515 4.4632]
[5.9711 0.372  0.7568 5.1422]
[4.5155 0.3919 0.8761 4.6632]
[5.7033 0.479  0.8236 3.7042]
[3.7752 0.4725 0.8138 4.2549]
[3.936  0.3692 0.8815 3.0424]
[3.6348 0.4559 0.9175 5.1427]
[4.6978 0.4317 0.7604 3.161 ]
[4.7103 0.4187 0.7981 5.7331]
[5.3174 0.4319 0.8846 3.2546]
[4.4146 0.4141 0.7755 4.012 ]
[4.3692 0.4097 0.8517 5.5909]
[5.418  0.4188 0.7931 3.3565]
[3.7854 0.4201 0.7412 5.7477]
[5.0656 0.4108 0.7961 3.4658]
[3.0919 0.4429 0.7634 5.8855]
[4.2131 0.4617 0.8173 3.3903]
[4.6601 0.4045 0.79   4.3661]
[5.8357 0.4246 0.7964 4.5599]
[4.2212 0.4497 0.8271 3.1154]
[5.415  0.4489 0.9186 4.853 ]
[3.4796 0.4427 0.7783 5.5198]
[5.3269 0.3634 0.8739 4.2697]
[3.0917 0.4354 0.878  5.8799]
[3.2474 0.389  0.9012 4.6648]
[3.3126 0.4153 0.8083 5.0187]
[5.0382 0.3994 0.7347 5.5634]
[4.4411 0.4028 0.9022 3.602 ]
[4.4161 0.3931 0.8297 4.5976]
[4.3374 0.3842 0.8389 5.7223]
[3.5437 0.4764 0.8911 5.3196]
[3.8527 0.4652 0.844  4.7684]
