[5.4456 0.4316 0.8072 3.5901]
[5.1244, 0.4337, 0.8066, 3.7064]
[5.585, 0.432, 0.8067, 3.7226]
[5.7882, 0.4284, 0.8075, 3.6723]
[5.6655, 0.4256, 0.814, 3.675]
[5.3245, 0.4294, 0.7993, 3.8733]
[5.6109, 0.4284, 0.8033, 3.9987]
[5.7882, 0.4284, 0.7886, 3.7929]
[5.6911, 0.4294, 0.7998, 3.6723]
[5.6655, 0.4313, 0.801, 3.7813]
[5.8554, 0.4294, 0.7888, 3.6727]
[5.6631, 0.4284, 0.7998, 3.6622]
[5.6811, 0.4209, 0.7871, 3.8774]
[5.6631, 0.4256, 0.7898, 3.8173]
[5.6337, 0.431, 0.7842, 3.8173]
[3.1912 0.4353 0.7889 3.9807]
[5.973, 0.4241, 0.7756, 3.89]
[5.7187, 0.4286, 0.8002, 3.6233]
[5.7083, 0.4312, 0.7689, 3.7545]
[5.7603, 0.4294, 0.7853, 3.8532]
[5.6795 0.435  0.8104 4.0509]
[3.0722 0.4184 0.7902 3.9086]
[5.4909, 0.4279, 0.7749, 4.2234]
[5.9732, 0.4221, 0.7905, 4.1106]
[5.4909, 0.4258, 0.7904, 3.8645]
[5.5571, 0.4239, 0.7941, 4.1817]
[5.6644, 0.4282, 0.7735, 4.0184]
[5.5787 0.4223 0.7883 4.0534]
[5.7487, 0.4208, 0.775, 4.4744]
[5.7123, 0.4171, 0.7905, 4.1412]
[5.8005, 0.4277, 0.7931, 3.932]
[5.9345, 0.4277, 0.78, 4.3495]
[5.9756, 0.4243, 0.7959, 3.932]
[5.9486, 0.4206, 0.7799, 4.3495]
[5.6014, 0.4243, 0.7782, 4.2843]
[5.6014, 0.4144, 0.7782, 4.1831]
[5.9534, 0.4243, 0.7748, 4.1831]
[5.829  0.4204 0.7594 4.2247]
[3.1544, 0.4085, 0.7632, 4.5]
[3.1615, 0.4117, 0.7805, 4.4744]
[5.9401, 0.4169, 0.7762, 4.4357]
[3.0037 0.414  0.772  4.3907]
[5.9621, 0.4132, 0.7716, 4.4357]
[5.9639, 0.4237, 0.7645, 4.3736]
[5.9639, 0.4179, 0.7743, 4.6138]
[5.9521 0.4179 0.7756 4.4855]
[5.7382 0.4056 0.7596 4.696 ]
[5.676  0.4066 0.7734 4.8433]
[3.092  0.402  0.7902 5.2081]
[5.9561 0.4251 0.757  4.4757]
[3.3198 0.3935 0.7827 5.5993]
[3.0536 0.4158 0.8291 5.5575]
[3.3716 0.4119 0.7274 4.4707]
[5.7259 0.4347 0.7484 4.5335]
[3.3137 0.4561 0.7842 4.0539]
[3.3922 0.3924 0.7903 4.5753]
[3.665  0.3779 0.7669 4.4442]
[5.4263 0.4475 0.7509 3.8161]
[3.284  0.4658 0.8209 5.2603]
[5.0269 0.3959 0.7241 3.4116]
[4.5751 0.4634 0.7291 5.0279]
[5.2295 0.3692 0.7352 4.1521]
[4.6275 0.3912 0.888  5.0285]
[5.9974 0.4048 0.84   4.708 ]
[5.1006 0.4318 0.9127 3.9968]
[4.3929 0.3997 0.9185 5.5638]
[5.0827 0.4582 0.721  3.7849]
[5.826  0.3994 0.8983 5.4783]
[3.6915 0.3644 0.8308 3.8933]
[4.5639 0.3611 0.8649 4.7083]
[3.5882 0.4405 0.8089 3.7824]
[4.2716 0.3973 0.7444 5.0883]
[3.2216 0.3904 0.7969 5.9456]
[4.9572 0.375  0.8406 5.0305]
[4.515  0.3937 0.8682 5.4794]
[5.4321 0.4112 0.8446 5.1412]
[3.401  0.4048 0.8787 4.0707]
[5.9239 0.4183 0.8998 5.9776]
[3.8675 0.4748 0.8731 4.3413]
[3.1314 0.451  0.8385 4.3636]
[3.5511 0.4694 0.8007 3.6498]
[3.8737 0.4156 0.9055 5.1582]
[5.7674 0.3835 0.8578 3.6069]
[5.0365 0.3741 0.914  3.5685]
[5.5951 0.3934 0.7238 4.9924]
[5.4416 0.4382 0.7548 3.6491]
[4.6636 0.4673 0.8117 4.329 ]
[4.1053 0.4343 0.7656 5.3603]
[5.2381 0.4438 0.7682 4.7815]
[5.5471 0.3935 0.7351 5.6829]
[4.4224 0.4603 0.8495 5.1739]
[5.7248 0.4248 0.799  5.1631]
[5.6731 0.3735 0.8191 5.4043]
[3.1016 0.4766 0.8265 4.5484]
[4.1552 0.3937 0.8585 5.3662]
[4.5306 0.461  0.7218 4.2823]
[4.0419 0.3933 0.8114 4.0421]
[3.9559 0.3725 0.8954 3.549 ]
[3.2814 0.4619 0.7594 3.6463]
[3.0214 0.4156 0.8174 5.9679]
