[5.355  0.4267 0.8162 3.7053]
[5.6954, 0.4306, 0.7978, 3.4799]
[5.355, 0.4294, 0.8031, 3.7907]
[5.585, 0.432, 0.8223, 3.6723]
[5.7417, 0.4294, 0.8031, 3.7525]
[5.6911, 0.4312, 0.8072, 3.7034]
[5.5832, 0.4294, 0.7993, 3.8733]
[5.4456, 0.4284, 0.7945, 3.6727]
[5.4881, 0.4256, 0.814, 3.6723]
[5.6661, 0.4277, 0.7823, 3.7811]
[5.6911, 0.4294, 0.801, 3.6622]
[5.7882, 0.4294, 0.801, 3.6723]
[5.6911, 0.428, 0.7993, 3.6622]
[5.6811, 0.4301, 0.7998, 3.7811]
[5.6811, 0.4296, 0.7998, 3.8173]
[5.8333 0.4286 0.7877 4.2345]
[5.7285, 0.4391, 0.7865, 3.7269]
[5.7411, 0.4283, 0.7762, 3.9942]
[5.7511, 0.4279, 0.7828, 3.8298]
[5.5713, 0.4235, 0.7689, 3.967]
[5.9337 0.4211 0.7885 3.8904]
[5.4909 0.4279 0.7749 4.2234]
[5.7496, 0.4289, 0.8013, 3.4111]
[5.4909, 0.4164, 0.779, 4.2234]
[5.7033, 0.4258, 0.805, 3.8555]
[5.4909, 0.4282, 0.7905, 3.8645]
[5.6842, 0.4239, 0.7905, 3.8645]
[5.6037 0.4162 0.7726 4.1408]
[5.7527, 0.4209, 0.7997, 4.3495]
[5.5787, 0.4141, 0.7883, 4.0908]
[5.606, 0.4277, 0.7863, 4.1461]
[5.9692, 0.4175, 0.7799, 4.0534]
[5.6443, 0.4243, 0.7931, 3.932]
[5.9756, 0.4117, 0.7765, 4.4744]
[5.9486, 0.4175, 0.7959, 4.2843]
[5.9534, 0.4213, 0.7854, 4.4332]
[5.4358, 0.4206, 0.7765, 4.0534]
[3.0061 0.4214 0.7857 4.6808]
[5.9756, 0.4117, 0.7827, 4.4744]
[5.9741, 0.4085, 0.7783, 4.5151]
[5.7702, 0.417, 0.7715, 4.3634]
[3.1747 0.4126 0.7727 4.2343]
[5.9086, 0.4076, 0.7639, 4.3057]
[5.9345, 0.4099, 0.7548, 4.5228]
[5.8823, 0.412, 0.7627, 4.3907]
[5.9604 0.4109 0.7629 4.3706]
[3.2501 0.4105 0.7689 5.0095]
[5.703  0.4169 0.7761 4.5946]
[5.9423 0.4153 0.7534 4.5363]
[3.1108 0.4069 0.7646 4.1374]
[5.9779 0.418  0.7849 4.9328]
[3.3106 0.4273 0.7633 4.568 ]
[5.4951 0.4232 0.783  5.3528]
[5.0512 0.3995 0.8316 4.3463]
[5.9452 0.3996 0.7958 5.2712]
[5.7895 0.4361 0.9028 5.2191]
[3.1004 0.3783 0.8497 3.2577]
[5.5534 0.374  0.8183 4.161 ]
[3.6692 0.4606 0.8018 4.0492]
[4.0214 0.3644 0.7258 4.4472]
[5.5787 0.4294 0.9074 4.2136]
[5.6075 0.4513 0.7256 3.1472]
[5.1531 0.4639 0.8013 3.2385]
[4.7186 0.406  0.8576 5.8673]
[4.6674 0.3791 0.78   4.2135]
[4.3646 0.437  0.8326 5.3855]
[3.8777 0.4096 0.8546 5.5298]
[5.5356 0.4448 0.7621 3.1465]
[4.5485 0.3879 0.8955 3.2337]
[5.0154 0.4488 0.9053 4.5165]
[4.7645 0.4302 0.7231 5.2365]
[3.4268 0.3605 0.9126 3.997 ]
[3.2551 0.4312 0.8449 3.8634]
[3.7924 0.3824 0.7759 5.541 ]
[3.3752 0.4215 0.8751 5.9807]
[3.9012 0.4037 0.8298 3.9701]
[4.7718 0.3798 0.8311 5.6344]
[4.0138 0.4465 0.8611 3.5838]
[5.2146 0.3836 0.8384 4.8446]
[4.7146 0.368  0.8082 3.6678]
[5.208  0.3676 0.7796 5.4015]
[5.4977 0.3902 0.8091 3.2469]
[4.0817 0.386  0.8724 4.0252]
[4.8644 0.4394 0.8286 4.2077]
[3.4504 0.3993 0.8527 5.5686]
[3.3569 0.4551 0.8146 5.129 ]
[3.6417 0.4232 0.8116 5.9825]
[3.6792 0.4627 0.7307 5.7209]
[5.6064 0.3895 0.8299 3.4471]
[5.9274 0.381  0.846  3.0074]
[3.122  0.4219 0.7224 4.4011]
[4.5936 0.4698 0.8911 5.7024]
[3.6722 0.4677 0.8699 4.1831]
[4.2832 0.3904 0.7218 3.1136]
[4.8284 0.3994 0.8686 3.3229]
[4.6879 0.3605 0.9089 4.9468]
[4.9946 0.433  0.8226 3.8543]
[3.8637 0.4339 0.7438 5.3776]
[3.4665 0.3818 0.8449 4.3666]
[5.534  0.4311 0.7373 4.4141]
