[5.5034 0.436  0.8232 3.7835]
[5.6954, 0.4348, 0.7978, 3.5418]
[5.4195, 0.4331, 0.814, 3.6837]
[5.552, 0.4324, 0.8001, 3.6727]
[5.552, 0.4323, 0.8072, 3.7034]
[5.6911, 0.4294, 0.7964, 3.9587]
[5.6911, 0.4284, 0.8075, 3.8173]
[5.585, 0.4294, 0.7993, 3.6723]
[5.4881, 0.4277, 0.7945, 3.8357]
[5.6631, 0.4294, 0.7998, 3.6811]
[5.8554, 0.4296, 0.7888, 3.6727]
[5.6811, 0.4296, 0.8089, 3.6723]
[5.7882, 0.4296, 0.7835, 3.8774]
[5.8554, 0.431, 0.788, 3.7811]
[5.7498, 0.428, 0.7993, 3.6723]
[5.7646 0.4253 0.7706 3.9561]
[5.5713, 0.421, 0.7955, 3.8652]
[5.634, 0.4286, 0.7755, 3.7252]
[5.4437, 0.4307, 0.7993, 3.8532]
[5.7083, 0.4293, 0.7997, 3.7556]
[5.6919 0.422  0.8036 3.8181]
[5.6466 0.4318 0.7793 4.1089]
[5.6842, 0.4258, 0.8, 4.0862]
[5.6924, 0.4221, 0.7905, 4.1301]
[5.5279, 0.4264, 0.7882, 4.0476]
[5.6466, 0.4221, 0.7866, 3.8645]
[5.8102, 0.4264, 0.8, 4.2322]
[5.7527 0.4123 0.8046 4.3495]
[5.7487, 0.4171, 0.775, 4.4744]
[5.9885, 0.4244, 0.7765, 4.5266]
[5.606, 0.4209, 0.78, 3.8857]
[5.9345, 0.4243, 0.7959, 3.932]
[5.5787, 0.4175, 0.7959, 4.1955]
[5.9756, 0.4244, 0.7678, 4.2166]
[5.5787, 0.4175, 0.7765, 4.2166]
[5.5787, 0.4084, 0.7765, 4.2166]
[5.9668, 0.4156, 0.7782, 4.2166]
[5.8617 0.4168 0.7728 4.5829]
[5.7897, 0.4134, 0.7867, 4.5151]
[5.8249, 0.4025, 0.7839, 4.4785]
[5.9756, 0.4038, 0.7764, 4.5]
[5.907  0.4065 0.7766 4.3663]
[5.8823, 0.4149, 0.7627, 4.4391]
[5.9639, 0.4179, 0.7741, 4.4812]
[5.9507, 0.4149, 0.7627, 4.4391]
[5.9575 0.4195 0.7743 4.5816]
[5.7916 0.4126 0.7654 4.8066]
[5.6847 0.4081 0.7884 4.4334]
[3.0002 0.4186 0.7588 4.8365]
[5.5792 0.4102 0.7827 3.8455]
[5.6592 0.4197 0.752  5.2933]
[3.2209 0.395  0.8231 4.2577]
[3.8872 0.4293 0.7735 4.529 ]
[4.4888 0.4446 0.7442 3.792 ]
[5.8502 0.4292 0.853  3.1357]
[3.7485 0.4626 0.9003 4.1142]
[5.9872 0.4397 0.8305 3.5016]
[3.8729 0.4069 0.8249 5.6986]
[5.5993 0.4348 0.8684 4.7859]
[5.0555 0.4451 0.8898 4.2113]
[4.6435 0.4386 0.8679 3.1044]
[4.477  0.443  0.8161 4.3334]
[3.9379 0.4264 0.8832 5.2404]
[3.0386 0.3635 0.8062 4.1043]
[3.0509 0.4108 0.8048 5.4733]
[5.5026 0.4015 0.8995 4.9265]
[5.0395 0.4448 0.8408 3.8761]
[3.4946 0.4119 0.817  5.5156]
[4.567  0.3994 0.7927 4.6155]
[5.1129 0.3693 0.737  3.7204]
[3.5994 0.4779 0.8464 5.6417]
[4.7702 0.4683 0.908  4.9327]
[5.333  0.4246 0.7469 5.4187]
[5.8723 0.4228 0.792  3.358 ]
[4.504  0.4232 0.8717 4.2847]
[5.6346 0.4302 0.7909 5.8895]
[5.2223 0.3901 0.739  4.722 ]
[4.8823 0.384  0.8552 4.9254]
[3.3144 0.4431 0.7329 4.1984]
[5.0077 0.4291 0.7395 4.7947]
[3.1451 0.4255 0.7743 3.8203]
[5.2564 0.4357 0.8157 5.8547]
[5.9196 0.4433 0.7758 4.087 ]
[3.5714 0.4021 0.9162 3.6457]
[5.9905 0.4175 0.8489 3.1813]
[5.2894 0.4496 0.7605 4.948 ]
[3.0341 0.4526 0.8313 4.935 ]
[5.8284 0.4591 0.8673 3.1968]
[3.2602 0.4205 0.8413 4.5385]
[3.4662 0.3629 0.8979 4.0722]
[3.012  0.4562 0.7909 4.1204]
[4.0531 0.3684 0.7914 4.9572]
[3.6012 0.3709 0.8882 4.1188]
[4.1798 0.4015 0.7922 4.7757]
[3.0844 0.4495 0.8776 4.4355]
[3.6676 0.4626 0.8656 5.7661]
[4.0717 0.4394 0.9047 3.5522]
[3.1069 0.369  0.8137 4.281 ]
[4.0792 0.4336 0.8603 5.7462]
[4.393  0.4257 0.8645 3.5506]
