[5.5752 0.4358 0.8006 3.5113]
[5.585, 0.432, 0.7994, 3.7034]
[5.585, 0.4348, 0.7993, 3.5418]
[5.6585, 0.4337, 0.8081, 3.7907]
[5.552, 0.4331, 0.814, 3.6727]
[5.6655, 0.4256, 0.814, 3.6723]
[5.6911, 0.43, 0.8021, 3.6727]
[5.8238, 0.4284, 0.7912, 3.8206]
[5.7882, 0.4256, 0.814, 3.6622]
[5.6857, 0.4294, 0.7998, 3.6723]
[5.7882, 0.4294, 0.7998, 3.6811]
[5.6811, 0.4294, 0.7888, 3.6723]
[5.6631, 0.4296, 0.7898, 3.6622]
[5.6811, 0.4296, 0.7936, 3.8173]
[5.6811, 0.4296, 0.7936, 3.8247]
[5.7191 0.4235 0.7912 3.8418]
[5.7191, 0.4266, 0.7912, 3.8418]
[5.4437, 0.4241, 0.7746, 3.7257]
[5.7014, 0.4294, 0.7964, 3.8532]
[5.7191, 0.427, 0.7842, 3.7233]
[5.7759 0.4116 0.7906 4.2813]
[5.8706 0.4294 0.7865 3.9313]
[5.8801, 0.4221, 0.7905, 4.1106]
[5.6842, 0.4258, 0.7882, 3.8645]
[5.6886, 0.4301, 0.779, 4.0528]
[5.6842, 0.4279, 0.7882, 4.026]
[5.6886, 0.4189, 0.789, 3.9949]
[3.002  0.4189 0.7816 4.4021]
[5.7487, 0.4234, 0.775, 4.4744]
[5.5846, 0.4244, 0.7799, 3.8857]
[5.7123, 0.4244, 0.798, 4.088]
[5.4358, 0.4243, 0.7959, 4.0534]
[5.9486, 0.4209, 0.7846, 4.2843]
[5.9565, 0.4244, 0.7737, 3.932]
[5.6014, 0.4231, 0.7765, 4.4744]
[5.9486, 0.4175, 0.7959, 4.1831]
[5.9345, 0.4175, 0.77, 4.2166]
[5.6762 0.4146 0.7632 4.6759]
[5.9935, 0.415, 0.7547, 4.2874]
[5.9756, 0.412, 0.7827, 4.5392]
[5.9517, 0.4152, 0.7809, 4.3322]
[3.1297 0.4118 0.7743 4.446 ]
[5.9639, 0.4179, 0.7681, 4.4944]
[3.0592, 0.4099, 0.7832, 4.4898]
[5.8732, 0.4109, 0.791, 4.7063]
[3.0619 0.4089 0.7683 4.7429]
[5.969  0.4145 0.7912 4.1556]
[5.8416 0.412  0.7942 4.1958]
[4.0455 0.3933 0.7405 4.6008]
[3.0377 0.4094 0.7796 4.3946]
[5.9923 0.4221 0.7924 3.9982]
[5.8966 0.395  0.7882 4.9228]
[3.175  0.4053 0.8754 4.6063]
[5.3061 0.3984 0.7684 5.9711]
[3.7847 0.441  0.7812 3.8085]
[4.7669 0.4172 0.7698 5.4659]
[4.2602 0.4587 0.8362 4.4211]
[5.3501 0.3982 0.8344 3.8357]
[4.4898 0.4301 0.7622 5.4836]
[4.185  0.4735 0.8494 3.9627]
[5.9561 0.4021 0.7627 5.7206]
[3.6544 0.4248 0.8245 3.9994]
[5.1522 0.4321 0.8097 5.6045]
[3.5107 0.4102 0.8286 4.3875]
[3.1082 0.414  0.908  3.8389]
[3.1919 0.3856 0.8364 3.8084]
[3.2572 0.3648 0.7531 4.7711]
[4.7488 0.3644 0.7463 5.613 ]
[4.6303 0.3772 0.8038 3.7396]
[5.4541 0.3844 0.8024 4.3317]
[3.3808 0.4395 0.8812 4.2066]
[5.4071 0.4525 0.7751 3.5894]
[4.1464 0.4224 0.7517 4.3787]
[5.1537 0.429  0.9184 3.0076]
[5.655  0.4689 0.7392 4.3131]
[5.4955 0.419  0.7645 3.0395]
[3.4423 0.4461 0.761  4.4764]
[5.1535 0.3901 0.7747 4.5396]
[5.9973 0.4334 0.8561 4.8716]
[4.6663 0.4631 0.8153 5.9493]
[4.8603 0.4623 0.8254 5.4837]
[5.161  0.3802 0.7682 3.6171]
[3.6581 0.3966 0.8068 3.7214]
[5.3085 0.3933 0.8254 4.6717]
[4.6486 0.4206 0.761  3.211 ]
[4.3552 0.3701 0.7525 4.1374]
[5.0683 0.3949 0.8272 5.9684]
[3.5738 0.4144 0.8156 3.8663]
[3.4392 0.3908 0.7476 5.3209]
[3.9362 0.4346 0.8339 5.5146]
[4.6907 0.4115 0.7274 5.3445]
[4.066  0.4291 0.8929 4.947 ]
[4.6601 0.4131 0.7292 3.0549]
[5.958  0.4296 0.8803 3.9323]
[5.1775 0.4564 0.8836 5.6182]
[5.9072 0.3738 0.8775 3.8244]
[5.4418 0.4671 0.7287 3.1519]
[5.5556 0.4225 0.8117 3.4493]
[4.5479 0.4303 0.7823 5.6046]
[3.4006 0.4618 0.8346 5.5531]
