[5.7911 0.4449 0.7871 3.5012]
[5.3085, 0.4265, 0.8031, 3.7907]
[5.3245, 0.4284, 0.7993, 3.9987]
[5.3245, 0.43, 0.7993, 3.9987]
[5.3245, 0.4284, 0.7993, 3.9987]
[5.4881, 0.4256, 0.794, 3.6723]
[5.4456, 0.4284, 0.7945, 3.7929]
[5.6811, 0.4294, 0.7998, 3.6723]
[5.6811, 0.4276, 0.7998, 3.6723]
[5.5832, 0.4296, 0.7898, 3.8774]
[5.7882, 0.4294, 0.801, 3.6622]
[5.6811, 0.4294, 0.791, 3.8173]
[5.695, 0.4256, 0.814, 3.8382]
[5.6811, 0.4256, 0.7807, 3.8173]
[5.6857, 0.4288, 0.7842, 3.9614]
[5.7229 0.4346 0.7897 3.8463]
[3.0795, 0.434, 0.7919, 3.9755]
[5.8706, 0.4293, 0.7906, 3.8532]
[5.8706, 0.4321, 0.7689, 3.8532]
[5.8656, 0.427, 0.7755, 3.8159]
[5.6186 0.4166 0.7914 4.0074]
[5.7596 0.4188 0.7903 3.9917]
[5.8774, 0.4324, 0.7912, 3.9561]
[5.7496, 0.4279, 0.8013, 4.2234]
[5.4909, 0.4221, 0.7905, 4.1301]
[5.6447, 0.4271, 0.8, 3.9949]
[5.6466, 0.4258, 0.7993, 4.0184]
[5.7729 0.4142 0.8029 4.1656]
[5.4358, 0.4209, 0.7846, 3.917]
[5.7487, 0.4291, 0.775, 4.2962]
[5.9486, 0.4175, 0.7799, 4.3495]
[5.4358, 0.4209, 0.7854, 4.5708]
[5.5787, 0.4243, 0.7959, 4.2843]
[5.9486, 0.4209, 0.7765, 4.5708]
[5.6014, 0.4209, 0.7959, 4.2081]
[5.9486, 0.413, 0.7959, 4.3495]
[5.9296, 0.4231, 0.7959, 4.1831]
[5.7652 0.4042 0.7635 4.384 ]
[5.9275, 0.417, 0.7715, 4.3634]
[5.9756, 0.4117, 0.7867, 4.5151]
[5.7897, 0.4144, 0.7867, 4.3084]
[3.4191 0.4164 0.7797 4.4288]
[5.9229, 0.4124, 0.7724, 4.4944]
[5.9639, 0.4179, 0.7741, 4.2108]
[5.8823, 0.4145, 0.7548, 4.4357]
[3.0885 0.4092 0.7706 4.6772]
[5.9597 0.4156 0.7678 4.5138]
[3.1549 0.4068 0.7685 4.2802]
[3.5134 0.4134 0.7929 4.4494]
[5.9066 0.4277 0.7986 4.9411]
[5.7432 0.4042 0.7752 4.6739]
[3.0589 0.4192 0.794  4.0615]
[5.8184 0.4199 0.8084 4.8699]
[5.8015 0.3668 0.7882 5.4236]
[5.4828 0.456  0.7838 4.1697]
[3.459  0.4662 0.9187 3.3614]
[3.1221 0.4514 0.826  4.4749]
[3.3264 0.4297 0.9181 3.0587]
[5.5612 0.4287 0.7431 4.3627]
[5.7709 0.3957 0.8594 5.8176]
[5.3464 0.4444 0.7263 3.5377]
[4.6662 0.3751 0.8396 4.3217]
[4.7282 0.4351 0.8374 3.1304]
[4.86   0.381  0.8239 4.105 ]
[5.8731 0.3664 0.8529 4.4349]
[3.3568 0.3991 0.8759 4.7695]
[3.9937 0.3823 0.9162 5.401 ]
[5.4879 0.3689 0.7307 3.4763]
[5.5596 0.3612 0.7684 5.0779]
[4.4128 0.3958 0.7749 5.    ]
[5.2936 0.363  0.7637 5.7765]
[5.76   0.4405 0.783  4.1291]
[5.7596 0.3979 0.7867 5.2684]
[5.4486 0.4525 0.7744 4.8093]
[4.7192 0.3665 0.8874 5.3424]
[3.1212 0.43   0.8438 5.7504]
[5.3041 0.425  0.891  3.2723]
[3.8885 0.4139 0.7656 3.9855]
[5.3253 0.3813 0.8096 5.5976]
[3.6262 0.4728 0.8256 3.6448]
[4.0735 0.4469 0.7739 5.0769]
[5.6186 0.473  0.841  5.3254]
[4.0616 0.3811 0.7239 3.6212]
[4.7898 0.4585 0.8922 5.3817]
[4.8564 0.4544 0.8782 3.4327]
[4.991  0.4593 0.8576 3.2586]
[4.0279 0.4324 0.8893 5.6952]
[3.3366 0.4777 0.7796 4.9867]
[5.3594 0.3996 0.733  3.6369]
[3.8405 0.3924 0.8437 3.5504]
[5.1879 0.374  0.7563 3.6822]
[5.9786 0.3887 0.8553 3.9941]
[3.4829 0.4569 0.9181 3.5613]
[4.6963 0.412  0.8209 3.8031]
[3.2917 0.4355 0.7207 5.4405]
[5.1554 0.4656 0.9063 4.0498]
[3.6116 0.4174 0.8452 4.6925]
[3.1943 0.4299 0.739  3.6516]
[5.7674 0.4395 0.7351 3.87  ]
[3.1727 0.475  0.9004 4.8042]
