[5.5071 0.4311 0.8045 3.8543]
[5.4624, 0.4287, 0.8072, 3.7381]
[5.552, 0.432, 0.8216, 3.6598]
[5.7417, 0.4294, 0.8031, 3.7907]
[5.6911, 0.4294, 0.8075, 3.6837]
[5.552, 0.4294, 0.7993, 3.6727]
[5.4881, 0.4256, 0.814, 3.6727]
[5.5472, 0.4337, 0.8033, 3.8212]
[5.6337, 0.4284, 0.7791, 3.861]
[5.7882, 0.4255, 0.7869, 3.7496]
[5.6739, 0.4284, 0.814, 3.7357]
[5.6655, 0.4294, 0.7998, 3.6622]
[5.6811, 0.4294, 0.7888, 3.7811]
[5.5832, 0.4296, 0.7993, 3.6622]
[5.6811, 0.4296, 0.7936, 3.8173]
[5.5713 0.421  0.7955 3.8652]
[5.7511, 0.4189, 0.7701, 4.0195]
[5.5713, 0.4253, 0.7955, 3.8652]
[5.5713, 0.4286, 0.7865, 3.7556]
[5.7083, 0.4293, 0.7997, 3.8532]
[5.6922 0.4161 0.803  4.0933]
[5.7205 0.4163 0.7989 4.0162]
[5.4909, 0.4221, 0.7905, 4.1106]
[5.6447, 0.4221, 0.805, 4.0149]
[5.6466, 0.4284, 0.7735, 3.8645]
[5.5279, 0.4282, 0.781, 3.8645]
[5.6466, 0.4282, 0.7882, 4.0184]
[5.7951 0.4174 0.7765 4.5266]
[5.673, 0.4244, 0.78, 4.1029]
[5.4358, 0.4209, 0.7846, 4.5708]
[5.6014, 0.4243, 0.7959, 3.932]
[5.9756, 0.4175, 0.7959, 4.1955]
[5.9756, 0.4244, 0.7931, 4.2166]
[5.5787, 0.4243, 0.7959, 4.1831]
[5.6014, 0.4175, 0.7765, 4.2166]
[5.9247, 0.4128, 0.7768, 4.4744]
[5.6014, 0.4243, 0.7748, 4.1831]
[5.8252 0.4086 0.7653 4.7844]
[3.0409, 0.4083, 0.7728, 4.5354]
[5.8701, 0.412, 0.7885, 4.348]
[5.981, 0.415, 0.7653, 4.624]
[5.9574 0.4134 0.7724 4.2549]
[5.8148, 0.4136, 0.7832, 4.3304]
[5.9639, 0.4118, 0.7743, 4.446]
[5.9639, 0.4179, 0.7716, 4.4944]
[5.9705 0.4043 0.7536 4.4454]
[5.9698 0.4067 0.7748 4.452 ]
[3.2494 0.4098 0.7533 4.747 ]
[5.9306 0.4383 0.7582 4.2982]
[3.2199 0.414  0.8299 4.6329]
[5.714  0.4074 0.7838 4.827 ]
[5.6117 0.4146 0.7603 3.8436]
[5.4267 0.4334 0.752  4.6517]
[3.6873 0.4461 0.8273 3.6523]
[5.5959 0.3962 0.7531 5.2994]
[3.3809 0.3722 0.9184 3.5298]
[5.4548 0.4105 0.7606 3.8019]
[3.4358 0.3651 0.8471 3.8991]
[4.3919 0.408  0.8457 3.7709]
[3.571  0.4086 0.8016 4.1537]
[5.425  0.4737 0.8334 3.1554]
[4.4387 0.4623 0.8074 4.528 ]
[3.5234 0.4422 0.7485 4.2799]
[4.7115 0.4442 0.7375 3.4922]
[5.4797 0.3843 0.7806 4.6718]
[3.7037 0.471  0.7483 5.7966]
[5.1008 0.4519 0.9074 5.5379]
[5.5438 0.3851 0.8844 3.0871]
[3.512  0.4354 0.7713 5.6019]
[5.4788 0.4638 0.7918 5.1289]
[5.1462 0.4346 0.783  3.119 ]
[5.1613 0.4082 0.7584 5.5322]
[3.5121 0.4267 0.7258 3.5943]
[5.397  0.4709 0.9083 3.1698]
[3.4535 0.4506 0.7486 5.5351]
[3.5281 0.4112 0.8552 4.3287]
[3.7631 0.4315 0.8587 3.8387]
[5.9961 0.3918 0.9124 3.8049]
[5.7622 0.4049 0.8184 5.3547]
[5.4364 0.3935 0.7535 3.197 ]
[5.9384 0.3773 0.7848 4.5137]
[5.7055 0.4652 0.8526 3.6808]
[3.9321 0.3805 0.7689 4.1831]
[3.3711 0.3942 0.7659 5.5826]
[5.9531 0.4635 0.9029 3.9027]
[5.4571 0.4366 0.8229 4.3853]
[4.7615 0.4622 0.882  5.4611]
[3.3399 0.3983 0.7984 4.8728]
[5.1855 0.4627 0.8538 5.4537]
[4.4767 0.4194 0.772  3.632 ]
[5.726  0.3851 0.7549 5.2049]
[3.721  0.4566 0.9056 4.2507]
[3.1406 0.4788 0.8898 3.383 ]
[4.3902 0.4757 0.8642 5.4944]
[3.4549 0.3735 0.7932 3.9386]
[5.8073 0.4105 0.8631 4.0054]
[4.5057 0.3927 0.8945 5.9991]
[3.0622 0.4451 0.7969 3.0145]
[5.4584 0.4618 0.7469 4.8785]
[3.8946 0.4196 0.7568 3.4954]
