[5.477  0.4262 0.8072 3.6213]
[5.5575, 0.4284, 0.8223, 3.6723]
[5.7417, 0.4265, 0.8021, 3.7907]
[5.7293, 0.4242, 0.8021, 3.9987]
[5.6655, 0.4265, 0.814, 3.7463]
[5.552, 0.4323, 0.7932, 3.8677]
[5.552, 0.4296, 0.7994, 3.6723]
[5.5832, 0.4294, 0.8017, 3.8733]
[5.6911, 0.4323, 0.7898, 3.8173]
[5.7882, 0.428, 0.7945, 3.6622]
[5.6911, 0.428, 0.7993, 3.6723]
[5.8143, 0.4256, 0.7898, 3.8774]
[5.6337, 0.4301, 0.7998, 3.6723]
[5.6337, 0.4301, 0.7998, 3.6723]
[5.6811, 0.4301, 0.7993, 3.7357]
[5.531  0.4252 0.7869 3.9542]
[5.5713, 0.4253, 0.7955, 3.8652]
[5.7083, 0.4312, 0.7762, 3.7545]
[5.6916, 0.4279, 0.771, 3.9681]
[5.7191, 0.4229, 0.8002, 4.1003]
[5.8607 0.425  0.7845 4.1156]
[5.8649 0.4337 0.7986 3.9663]
[5.6589, 0.4282, 0.8, 3.8645]
[5.6886, 0.4221, 0.7905, 3.9949]
[5.6466, 0.4221, 0.7996, 4.1817]
[5.6842, 0.4258, 0.7798, 3.8645]
[5.6842, 0.4279, 0.7735, 3.8645]
[5.8225 0.4249 0.8075 4.0521]
[5.7329, 0.4226, 0.7997, 4.5745]
[5.6835, 0.4206, 0.775, 4.4744]
[5.7487, 0.4234, 0.7773, 4.5708]
[5.606, 0.4209, 0.7997, 4.14]
[5.4358, 0.4244, 0.7705, 4.3495]
[5.6014, 0.4231, 0.7846, 4.2843]
[5.4358, 0.4277, 0.7959, 4.3495]
[5.9345, 0.4156, 0.78, 4.5292]
[5.6443, 0.4156, 0.78, 4.3495]
[5.9621 0.4132 0.7716 4.4357]
[5.9234, 0.4097, 0.7547, 4.2874]
[5.9756, 0.4117, 0.7759, 4.7844]
[5.7897, 0.4134, 0.7719, 4.5389]
[3.0261 0.4241 0.7713 4.1232]
[3.056, 0.4057, 0.7656, 4.4909]
[3.1393, 0.4149, 0.7627, 4.4391]
[5.9639, 0.4118, 0.7769, 4.5837]
[5.8604 0.4226 0.7732 4.4253]
[5.7818 0.4148 0.7747 4.4354]
[5.7262 0.3993 0.7693 4.3021]
[5.6031 0.4201 0.7788 5.0017]
[3.561  0.4303 0.7781 4.2222]
[3.0054 0.4072 0.8057 4.4627]
[4.896  0.4139 0.7888 5.1064]
[5.7967 0.4195 0.7438 4.7992]
[5.5966 0.4333 0.743  5.238 ]
[3.5041 0.4575 0.789  3.9387]
[5.6976 0.4569 0.7883 3.1273]
[4.0887 0.3932 0.7851 3.7746]
[5.2628 0.4009 0.7281 4.8625]
[4.8192 0.4661 0.8116 5.558 ]
[3.9063 0.4401 0.8729 3.4371]
[5.6389 0.3943 0.8843 4.3453]
[3.74   0.442  0.755  4.3587]
[5.8549 0.4554 0.9133 3.27  ]
[4.998  0.4622 0.8962 4.8229]
[5.752  0.4311 0.8621 5.0873]
[5.2977 0.4598 0.9081 5.3359]
[3.8653 0.4334 0.7783 5.7463]
[4.6114 0.4413 0.86   5.0089]
[3.7729 0.4536 0.8957 4.1948]
[3.0549 0.4472 0.8916 4.9816]
[5.9905 0.4506 0.8532 3.2942]
[5.7741 0.3646 0.8241 5.6471]
[4.3371 0.4376 0.8487 5.1437]
[4.3796 0.4509 0.8275 3.1728]
[5.8372 0.369  0.7406 5.1605]
[3.5794 0.4236 0.7229 3.8812]
[5.8303 0.4267 0.8436 3.3799]
[3.0984 0.4693 0.8831 4.9482]
[3.7224 0.3919 0.7932 4.5658]
[5.4596 0.361  0.8424 4.8946]
[4.6637 0.4759 0.7776 3.5304]
[5.3527 0.4486 0.7783 5.7128]
[5.4722 0.3876 0.7647 4.3304]
[4.7245 0.3904 0.8757 3.5649]
[5.8638 0.3849 0.84   3.7612]
[3.016  0.374  0.8579 5.4407]
[5.9721 0.4622 0.7852 3.3699]
[3.2683 0.4421 0.8934 3.1947]
[5.2551 0.3723 0.7458 3.9344]
[3.4748 0.3605 0.813  5.993 ]
[3.6354 0.459  0.9136 4.2215]
[5.5923 0.4741 0.7746 4.2452]
[3.0207 0.4026 0.91   4.0385]
[4.3397 0.3759 0.8617 5.9311]
[3.9751 0.4652 0.9001 3.2918]
[3.9255 0.4125 0.7496 4.3047]
[4.2994 0.4401 0.8061 5.2975]
[5.0155 0.4096 0.8287 4.3068]
[4.9919 0.3772 0.8671 5.5339]
[4.0015 0.4772 0.7299 3.4591]
