[5.427  0.4329 0.8075 3.5491]
[5.552, 0.432, 0.7993, 3.7195]
[5.355, 0.4294, 0.8075, 3.7357]
[5.6655, 0.4265, 0.814, 3.7463]
[5.6655, 0.434, 0.8031, 3.8032]
[5.6911, 0.43, 0.8075, 3.7945]
[5.4456, 0.4284, 0.8026, 3.9987]
[5.6811, 0.4294, 0.7998, 3.6727]
[5.552, 0.4317, 0.7868, 3.8206]
[5.6911, 0.428, 0.7993, 3.8233]
[5.7814, 0.4313, 0.801, 3.7357]
[5.7882, 0.4294, 0.801, 3.6622]
[5.6857, 0.4296, 0.801, 3.7357]
[5.6811, 0.4209, 0.7998, 3.8383]
[5.7882, 0.431, 0.7998, 3.7905]
[5.9469 0.4221 0.7867 4.0971]
[5.7882, 0.4348, 0.7919, 3.6233]
[5.8656, 0.427, 0.7842, 3.8233]
[5.8706, 0.4279, 0.7689, 3.967]
[5.8656, 0.4267, 0.7912, 3.8253]
[3.1289 0.4344 0.7948 4.024 ]
[3.0319 0.4373 0.8131 4.1805]
[5.9732, 0.4202, 0.8004, 3.6742]
[5.662, 0.4265, 0.7735, 4.3216]
[5.6447, 0.4221, 0.7749, 4.026]
[5.6466, 0.4221, 0.779, 4.0528]
[5.6886, 0.4282, 0.8, 3.9949]
[5.5846 0.4174 0.7915 3.8289]
[5.6946, 0.4233, 0.8127, 4.3202]
[5.9756, 0.4175, 0.7765, 4.2004]
[5.8983, 0.4205, 0.7931, 4.3495]
[5.9756, 0.4244, 0.7765, 4.2166]
[5.4358, 0.4178, 0.7765, 4.1995]
[5.9179, 0.4243, 0.7959, 4.2843]
[5.5787, 0.4209, 0.7959, 4.1831]
[5.6014, 0.4231, 0.7959, 4.3429]
[5.9486, 0.4177, 0.7726, 4.541]
[5.943  0.4119 0.7867 4.5628]
[3.0784, 0.409, 0.7653, 4.7844]
[5.9756, 0.4155, 0.7827, 4.3047]
[5.9275, 0.417, 0.7839, 4.4785]
[5.8148 0.4136 0.7832 4.3304]
[3.0261, 0.4077, 0.7713, 4.6697]
[3.102, 0.4102, 0.7741, 4.5549]
[5.8823, 0.4145, 0.7627, 4.4357]
[3.0405 0.4092 0.7902 4.5036]
[3.0815 0.3985 0.7595 4.742 ]
[5.9739 0.4021 0.7944 4.7651]
[5.7997 0.4248 0.7935 4.5043]
[5.9177 0.4232 0.7735 4.1406]
[3.0596 0.4032 0.7753 4.7298]
[5.9867 0.3929 0.8286 4.2729]
[3.4951 0.4333 0.8022 4.5378]
[3.0075 0.3773 0.7943 5.1947]
[4.402  0.3872 0.8753 4.5638]
[3.3126 0.3786 0.7416 5.639 ]
[3.9628 0.4002 0.886  4.7786]
[4.6881 0.442  0.7976 5.8956]
[5.7125 0.4395 0.7895 4.6688]
[5.2773 0.3829 0.8615 3.3896]
[4.6705 0.4677 0.7641 5.81  ]
[5.745  0.3754 0.8951 4.407 ]
[5.0629 0.4789 0.7938 4.2445]
[3.0472 0.4066 0.8561 3.4423]
[4.9257 0.4312 0.8687 5.4775]
[3.3871 0.4049 0.7516 5.4644]
[3.134  0.4013 0.7561 4.4208]
[3.9725 0.4621 0.9    5.1567]
[3.9244 0.3959 0.8927 3.4488]
[3.9867 0.4303 0.8989 4.8334]
[3.7662 0.4697 0.7535 3.068 ]
[3.3438 0.3612 0.7465 4.8765]
[5.518  0.4723 0.9154 4.4096]
[5.5836 0.4173 0.8799 5.4715]
[4.9632 0.3698 0.7208 4.8387]
[3.6622 0.366  0.7247 4.9004]
[4.2192 0.393  0.7809 4.7845]
[5.6939 0.4182 0.8448 4.1482]
[3.7255 0.4162 0.7335 3.3727]
[5.8359 0.4448 0.8718 3.4906]
[5.3531 0.4074 0.8033 5.81  ]
[3.8944 0.3952 0.8957 3.0443]
[4.1066 0.4325 0.8124 5.1813]
[5.7087 0.4168 0.859  5.2282]
[4.3315 0.458  0.772  4.2809]
[3.8252 0.4248 0.8709 3.8648]
[3.7588 0.4343 0.7308 5.8878]
[3.2952 0.4048 0.7766 3.8473]
[3.9724 0.3996 0.7362 5.3872]
[4.4641 0.4598 0.7983 5.7568]
[4.6261 0.3749 0.8973 3.2046]
[4.003  0.4113 0.8097 5.8431]
[3.504  0.4602 0.8006 4.2121]
[5.9683 0.4537 0.7492 4.9906]
[4.927  0.4359 0.8837 5.1079]
[5.1064 0.3961 0.8009 5.3157]
[5.2606 0.4203 0.8243 4.2504]
[3.939  0.4525 0.7792 3.5548]
[3.6228 0.3663 0.8103 4.5374]
[4.0689 0.4374 0.8567 5.1115]
