[4.9985 0.4353 0.7982 3.5777]
[5.4195, 0.43, 0.814, 3.7463]
[5.4881, 0.4267, 0.8006, 3.6226]
[5.6585, 0.43, 0.814, 3.7907]
[5.3245, 0.43, 0.7993, 3.9987]
[5.6911, 0.4257, 0.814, 3.6727]
[5.795, 0.4342, 0.7993, 3.9987]
[5.8219, 0.4284, 0.8017, 3.9055]
[5.7979, 0.4294, 0.794, 3.8733]
[5.6911, 0.4296, 0.788, 3.6622]
[5.5832, 0.4296, 0.7898, 3.8774]
[5.7906, 0.4294, 0.801, 3.6723]
[5.7882, 0.4294, 0.801, 3.6723]
[5.7906, 0.4238, 0.7898, 3.8173]
[5.6857, 0.428, 0.801, 3.8641]
[5.9393 0.4173 0.7946 3.8518]
[5.7646, 0.4235, 0.7912, 3.9561]
[5.663, 0.4286, 0.7853, 3.6233]
[5.7882, 0.4235, 0.7912, 3.967]
[5.6916, 0.4235, 0.7919, 3.967]
[5.631  0.4299 0.7841 4.2162]
[5.9267 0.4249 0.7801 3.5579]
[5.7981, 0.4239, 0.7941, 3.9034]
[5.8706, 0.4239, 0.805, 4.0149]
[5.6604, 0.4284, 0.7735, 3.8645]
[5.6447, 0.4247, 0.7882, 3.8645]
[5.7052, 0.4282, 0.8, 4.0149]
[5.7889 0.4192 0.7851 4.1012]
[3.002, 0.4234, 0.7816, 4.4021]
[5.7487, 0.4234, 0.775, 3.917]
[5.606, 0.4246, 0.7846, 3.8857]
[5.9345, 0.4277, 0.7674, 3.917]
[5.7123, 0.4213, 0.7765, 4.4744]
[5.6014, 0.4209, 0.7846, 4.2081]
[5.5787, 0.4209, 0.7674, 4.1472]
[5.9486, 0.413, 0.7701, 4.3495]
[5.9754, 0.4175, 0.7959, 4.4687]
[5.981  0.4155 0.7827 4.3047]
[5.919, 0.4169, 0.7801, 4.8407]
[5.7702, 0.4152, 0.7815, 4.5]
[5.899, 0.415, 0.7744, 4.5389]
[5.6744 0.3984 0.7658 4.3315]
[5.9086, 0.4076, 0.7639, 4.3057]
[5.9207, 0.4237, 0.7555, 4.3736]
[5.8581, 0.4132, 0.7741, 4.6138]
[5.655  0.4036 0.7616 4.476 ]
[3.161  0.4173 0.7935 4.6392]
[3.1856 0.4142 0.7619 4.6389]
[3.1795 0.4058 0.7713 4.8209]
[5.891  0.3863 0.7603 5.1568]
[5.7393 0.3947 0.7686 4.9845]
[3.4961 0.4101 0.7958 4.3066]
[5.6778 0.4259 0.7916 4.0949]
[3.2663 0.4204 0.827  5.9687]
[5.8278 0.393  0.7665 5.4386]
[5.5206 0.4718 0.8367 4.743 ]
[4.2973 0.3903 0.7583 5.5609]
[3.1193 0.4087 0.8758 5.2644]
[5.1662 0.3656 0.8436 5.3917]
[3.5255 0.4098 0.825  3.621 ]
[4.2529 0.4605 0.813  3.6054]
[5.1552 0.3922 0.8473 4.9365]
[3.3351 0.4304 0.7877 4.4455]
[5.335  0.4468 0.7289 5.6002]
[3.123  0.3661 0.8584 3.3047]
[3.2387 0.4439 0.7338 3.5976]
[3.1042 0.4186 0.8643 3.3511]
[3.3415 0.4635 0.824  5.6158]
[3.6584 0.3645 0.7477 5.829 ]
[4.1843 0.4645 0.9083 4.5709]
[5.2545 0.4521 0.7721 3.5131]
[5.4426 0.413  0.9128 4.1116]
[5.677  0.4457 0.7427 3.1995]
[5.5533 0.4521 0.8037 4.1106]
[3.8972 0.4073 0.8071 4.3216]
[3.5155 0.3683 0.7617 3.8178]
[4.3965 0.4479 0.8192 4.4106]
[4.7909 0.3901 0.798  3.4699]
[4.1564 0.3659 0.8354 3.894 ]
[4.8434 0.4144 0.9149 5.0514]
[3.5007 0.4622 0.7463 4.6992]
[5.2069 0.3884 0.8047 3.9303]
[4.2347 0.4352 0.7573 5.8439]
[4.542  0.3868 0.7688 3.8404]
[3.62   0.4075 0.8122 5.6523]
[5.9868 0.4184 0.8872 3.7088]
[4.6868 0.3958 0.8195 4.6315]
[3.4452 0.4299 0.732  4.1246]
[5.7636 0.4668 0.7306 4.8741]
[3.766  0.3698 0.7837 4.6336]
[4.9925 0.4289 0.8665 3.5805]
[3.017  0.4074 0.7557 4.2021]
[3.8583 0.3719 0.7581 5.6127]
[3.426  0.4281 0.8733 5.8406]
[5.2664 0.3631 0.7363 5.9149]
[4.6427 0.3887 0.9101 3.1722]
[4.0892 0.3964 0.9089 3.9926]
[4.2825 0.3822 0.7494 5.0953]
[4.1133 0.4218 0.7867 5.7072]
[3.098  0.406  0.8923 3.0379]
