[5.3835 0.4271 0.8209 3.6226]
[5.6655, 0.4265, 0.8031, 3.7907]
[5.6655, 0.434, 0.8031, 3.6727]
[5.6655, 0.434, 0.8031, 3.8032]
[5.8435, 0.4323, 0.8081, 3.7463]
[5.552, 0.4257, 0.8059, 3.6727]
[5.552, 0.4294, 0.8059, 3.6727]
[5.6655, 0.4294, 0.7993, 3.6723]
[5.6911, 0.432, 0.814, 3.7784]
[5.7814, 0.4317, 0.801, 3.6723]
[5.6811, 0.4296, 0.788, 3.6723]
[5.6857, 0.4296, 0.8087, 3.7357]
[5.6811, 0.4294, 0.791, 3.8173]
[5.6337, 0.431, 0.7998, 3.8172]
[5.8045, 0.431, 0.7823, 3.6622]
[5.4855 0.417  0.7839 3.9956]
[5.7191, 0.4235, 0.7912, 3.9082]
[5.5713, 0.4253, 0.7919, 3.8652]
[5.6916, 0.4279, 0.771, 3.9681]
[5.6916, 0.4278, 0.7912, 3.7484]
[3.0954 0.4132 0.7914 4.0333]
[5.935  0.4259 0.7946 3.5552]
[5.797, 0.417, 0.7925, 4.0386]
[5.7426, 0.4282, 0.8, 3.7143]
[5.5279, 0.4282, 0.781, 4.0476]
[5.4909, 0.4258, 0.7855, 3.8645]
[5.6589, 0.4284, 0.8, 3.8645]
[5.7535 0.4159 0.8152 4.3747]
[5.5787, 0.4246, 0.7946, 4.0534]
[5.606, 0.4246, 0.7799, 3.8857]
[5.6946, 0.4175, 0.7931, 4.4228]
[5.8623, 0.4175, 0.7959, 4.1831]
[5.4358, 0.422, 0.7689, 4.1831]
[5.4358, 0.4175, 0.7816, 4.1995]
[5.4358, 0.4175, 0.7855, 4.2081]
[5.9345, 0.4132, 0.7959, 4.3495]
[5.7123, 0.4175, 0.7782, 3.932]
[5.843  0.4157 0.7805 4.4785]
[3.1544, 0.4085, 0.7775, 4.6557]
[5.9746, 0.4132, 0.7653, 4.4788]
[5.7702, 0.415, 0.7764, 4.5389]
[5.6093 0.4103 0.767  4.3885]
[3.0041, 0.4195, 0.7743, 4.4911]
[5.9639, 0.4118, 0.7656, 4.446]
[5.9085, 0.4161, 0.773, 4.6373]
[5.672  0.4127 0.7804 4.5011]
[5.9542 0.414  0.7798 4.6321]
[5.4372 0.4162 0.7725 4.7432]
[5.9364 0.4222 0.7997 4.8327]
[5.9456 0.408  0.7558 4.5365]
[3.7388 0.4197 0.7875 4.3633]
[3.8838 0.4397 0.7803 4.9239]
[5.6062 0.4468 0.7897 4.4506]
[5.8067 0.419  0.7801 5.2939]
[5.011  0.3841 0.8159 5.3839]
[5.6092 0.4738 0.8908 4.3898]
[3.077  0.4715 0.8526 3.3558]
[5.4837 0.4705 0.8493 5.5401]
[4.4616 0.43   0.7517 3.0444]
[5.4506 0.4171 0.7531 3.3828]
[3.6761 0.4328 0.8854 3.6094]
[3.244  0.3921 0.77   5.5927]
[4.3877 0.4528 0.891  5.6416]
[4.2005 0.3647 0.8225 3.2113]
[5.9747 0.424  0.7314 3.385 ]
[4.3334 0.3744 0.748  4.5718]
[3.0873 0.391  0.8534 5.0618]
[3.712  0.3684 0.8849 3.2499]
[5.3803 0.3836 0.8784 4.9565]
[4.493  0.4353 0.8785 4.7118]
[3.6421 0.4636 0.9051 4.8827]
[4.8299 0.4733 0.7619 4.6814]
[5.9972 0.382  0.9097 3.985 ]
[4.7685 0.4729 0.7808 3.2596]
[4.0171 0.4512 0.8283 4.7891]
[4.8384 0.4715 0.7325 3.1043]
[5.3374 0.4324 0.8744 3.1011]
[5.877  0.4708 0.8655 4.8777]
[4.1639 0.4285 0.7539 5.4508]
[3.3011 0.3608 0.8624 3.1054]
[3.8872 0.3713 0.7329 4.7395]
[5.0629 0.3861 0.7417 5.3454]
[5.9754 0.3952 0.732  5.2414]
[3.3238 0.442  0.7438 4.1299]
[5.4998 0.429  0.7626 3.4012]
[3.9545 0.4766 0.7841 5.7797]
[4.2904 0.3796 0.8156 5.1763]
[3.8567 0.419  0.7269 3.0358]
[5.6961 0.3791 0.8977 4.0161]
[3.7791 0.4303 0.7599 3.1927]
[4.3251 0.4229 0.7282 4.8104]
[3.6251 0.4494 0.8939 4.9384]
[3.2061 0.3848 0.8191 4.2417]
[3.9515 0.4328 0.7815 5.2968]
[4.0301 0.3693 0.8352 5.2138]
[3.1211 0.4314 0.7646 4.6994]
[4.2001 0.396  0.895  3.3242]
[4.4316 0.4447 0.7231 5.1988]
[5.3134 0.4295 0.7687 3.0349]
[4.2046 0.388  0.7683 5.9591]
