[5.4769 0.4306 0.8152 3.5767]
[5.5012, 0.4265, 0.8021, 3.8032]
[5.3245, 0.4242, 0.8021, 3.9987]
[5.6911, 0.4294, 0.8033, 3.6837]
[5.3245, 0.4294, 0.7993, 3.7357]
[5.767, 0.428, 0.7993, 3.8212]
[5.585, 0.4342, 0.8072, 3.7151]
[5.355, 0.432, 0.7923, 3.6727]
[5.6655, 0.4294, 0.7993, 3.6723]
[5.4881, 0.4277, 0.7945, 3.7357]
[5.6661, 0.4277, 0.7823, 3.7811]
[5.6857, 0.4294, 0.801, 3.6723]
[5.6857, 0.4282, 0.788, 3.8132]
[5.6857, 0.4296, 0.801, 3.7647]
[5.6857, 0.4296, 0.7874, 3.7647]
[5.8867 0.4283 0.7762 3.7545]
[5.9126, 0.4286, 0.7912, 3.7269]
[5.6916, 0.4226, 0.7863, 3.7257]
[5.6766, 0.4283, 0.7762, 3.967]
[5.7343, 0.4276, 0.792, 3.8532]
[5.8412 0.4313 0.7933 3.8576]
[5.6069 0.4127 0.7925 4.1044]
[5.7862, 0.4089, 0.803, 3.9753]
[5.7426, 0.4223, 0.7735, 4.3216]
[5.6848, 0.4284, 0.7735, 3.8212]
[5.6447, 0.4279, 0.8, 4.179]
[5.7033, 0.4284, 0.7735, 3.8645]
[5.5083 0.4153 0.7781 3.9951]
[5.7951, 0.4202, 0.7765, 4.5708]
[5.6014, 0.4244, 0.7931, 4.3495]
[5.7487, 0.4175, 0.778, 4.4744]
[5.6014, 0.4175, 0.7931, 4.2034]
[5.5787, 0.4243, 0.7959, 4.2843]
[5.9486, 0.422, 0.7959, 4.1831]
[5.5787, 0.4209, 0.7854, 4.0534]
[5.6014, 0.4231, 0.7846, 4.2843]
[5.5787, 0.4175, 0.7931, 4.1831]
[5.7774 0.417  0.7815 4.624 ]
[5.8701, 0.412, 0.7809, 4.5392]
[5.7897, 0.4134, 0.7744, 4.5389]
[5.9756, 0.4134, 0.7839, 4.7496]
[3.0592 0.4079 0.7702 4.5562]
[5.9228, 0.412, 0.7669, 4.6138]
[5.9232, 0.4102, 0.7548, 4.4812]
[5.9639, 0.4118, 0.7683, 4.5837]
[5.887  0.4166 0.7679 4.588 ]
[5.9037 0.4183 0.781  4.7746]
[5.9976 0.4181 0.7706 4.4089]
[5.4416 0.4023 0.7883 4.5892]
[3.1448 0.4174 0.7589 4.8343]
[3.0207 0.3904 0.7824 4.7074]
[5.4719 0.4063 0.7301 4.7651]
[3.033  0.4255 0.7885 4.8263]
[4.8014 0.4038 0.7408 4.2605]
[5.4174 0.4216 0.7814 4.8141]
[5.1903 0.3787 0.7764 4.5006]
[5.86   0.3776 0.8844 3.9427]
[4.7327 0.3919 0.8983 5.3264]
[3.6471 0.4705 0.8746 5.0717]
[4.2513 0.3822 0.7319 5.8424]
[3.2619 0.469  0.8743 3.5728]
[5.016  0.4354 0.8695 4.8294]
[3.0788 0.4546 0.9142 3.8275]
[4.1713 0.3971 0.8842 5.2981]
[3.92   0.3747 0.7294 5.7187]
[3.7422 0.4446 0.8061 5.5988]
[4.526  0.3971 0.7392 5.8866]
[5.6998 0.367  0.7432 4.2903]
[3.5611 0.4581 0.8893 5.0295]
[5.9915 0.4394 0.8791 4.1447]
[3.4007 0.393  0.8231 4.8578]
[5.0269 0.3979 0.9106 4.0207]
[4.1386 0.3839 0.7213 3.0287]
[4.5855 0.3798 0.7346 5.1412]
[5.7633 0.3954 0.7281 3.6435]
[3.58   0.3606 0.8984 4.9385]
[4.94   0.372  0.7264 5.479 ]
[3.1237 0.4716 0.7208 5.3451]
[5.3605 0.45   0.8934 3.2247]
[4.5322 0.3908 0.8025 4.6347]
[3.304  0.4268 0.8353 5.5546]
[4.8253 0.3841 0.7468 4.0255]
[3.7352 0.3829 0.8162 3.6241]
[4.075  0.3667 0.751  4.2206]
[3.932  0.4786 0.7794 4.9879]
[5.546  0.4024 0.8587 5.5462]
[5.5336 0.4196 0.8473 4.7459]
[5.8446 0.4212 0.8055 4.2184]
[5.3866 0.4114 0.7264 3.4949]
[4.8792 0.449  0.8521 3.8303]
[3.4295 0.4664 0.744  3.5636]
[3.2775 0.4099 0.8338 5.1186]
[3.5624 0.4432 0.7288 4.9305]
[5.3288 0.4197 0.7958 4.0181]
[3.5441 0.4191 0.8169 4.7649]
[4.9642 0.4629 0.7468 4.0017]
[3.9679 0.3867 0.7291 5.2051]
[3.7587 0.4451 0.9026 4.2355]
[4.1405 0.3848 0.7766 4.4385]
[5.9167 0.3995 0.7214 5.8991]
